woarzoo	waarzo
ankled, anhoald	aangekleed
aanlopen	aangelopen
annaid, anbraid	aangenaaid
aangenoam	aangenaam
noflek	aangenaam, gezellig
annomen	aangenomen
anred, ijgenred	aangereed
anschoten	aangeschoten
aanschoten	aangeschoten
anstoken, doen	aangestoken
antrokken	aangetrokken
angeven	aangeven
angeven	aangeven
aangeven, aanbringen, aanlangen	aangeven
anwossen vet	aangewassen vet
anzet	aangezet
anglennen, glen	aangloeien
anglennen	aangloeien
angloepen, gloepen	aangluipen
aangloepen	aangluipen
aanswetten	aangrenzen
aangrinzend, aanswettend	aangrenzend
angrenzende femilie, angrenzende fermilie	aangrenzende familie
angriepen	aangrijpen
angoezen, goezen	aanguizen
anhoalen, bekomen	aanhalen
anhoalen	aanhalen
florren	aanhalen
aanhoaleg	aanhalig
anhoalings	aanhaling
aanhang	aanhang
aanhangen	aanhangen
beklemmet	aanhangig
anhengig	aanhankelijk, verbonden
anhoaren, hoartuug	aanharen
anharken	aanharken
aanhaarken	aanharken
rieuwen	aanharken (hooi)
aanklauwen, schrippen	aanharken, voortmaken, werken, ijverig -
anheling	aanheling
anhemmeld	aanhemelen
anhemmeln, anhimmeln	aanhemelen
aanhemmeln	aanhemelen
hessen	aanhitsen
anhissen, hissen	aanhitsen
anheurders	aanhoorder
anheuren	aanhoren
aanheuren	aanhoren
aanheuren	aanhoren
anholt	aanhoud
anhollen, anhoalen, oethollen	aanhouden
anhollen	aanhouden
aanhollen	aanhouden
aanhollen	aanhouden
slicht, achteraan, achterliek, achteroet, achteruut, aingoal, evven, geliek, onneuzel, ozzeg	aanhoudend (regen), achterlijk, eenvoudig, effen, onnozel, dom
stedig	aanhoudend, bestendig
voelbandig (westerquartier)	aanhoudend, sterk
anholder	aanhouder
aanholder	aanhouder
aanjoagen	aanjagen
anjensen, aanjensen	aanjenzen
anjuk, spoorstok	aanjuk
anjuk	aanjuk
aanjuk, twijknuppel	aanjuk
ankalken	aankalken
ankalken	aankalken
aankaalken	aankalken
ankauen, anëten	aankauwen
anketeltjen, aanketeltjen	aanketelen
ankitsjen, kitsen	aanketsen
ankeutern	aankeuteren
ankeutern, keutern	aankeuteren
ankiek	aankijk
ankieken	aankijken
aankieken	aankijken
sanen	aanklagen
aankloagen, verkloagen	aanklagen
verkloagen, aankloagen	aanklagen
anbrengen	aanklagen, opleiden
aanrandjen	aanklampen
anbuijen	aankleden
aanbòien	aankleden
aanklaiden	aankleden
aanboeien (W), aanbòien, aanboeien, aanklaiden, aanredden, aantrekken	aankleden
aanklaiden, aanboeien, aanbòien, aanredden, aantrekken	aankleden
aanredden, aanboeien, aanbòien, aanklaiden, aantrekken	aankleden
aantrekken, aanboeien, aanbòien, aanklaiden, aanredden	aankleden
aanboeien, omboeien	aankleden
opbòien, optugen	aankleden, netjes -
optugen, opbòien, opborstjen	aankleden, netjes -, optuigen, wedijveren
antrekken	aankleden, z. -
aankloppen	aankloppen
ankniepen	aanknijpen
aankniepen	aanknijpen
anknuppen	aanknopen
aanknuppen	aanknopen
ankouvern	aankoeveren
ankomen	aankomen
ankomen, angoan	aankomen
aankomen	aankomen
ankomende, ankomend, ankoom	aankomend
ankoom, ankom, ankomende	aankomend
ankôm, ankoom	aankomend
ankoom, ank’m, ank’n	aankomend
anstemmen	aankondigen
kondigen	aankondigen
wtcondigen	aankondigen, oproepen
ankoppeln	aankoppelen
ankramd, kramdroad	aankrammen
aankrammen	aankrammen
ankriegen	aankrijgen
aankroden	aankruien
aankroepen	aankruipen
aankruusken	aankruisen
aankoiern	aankuieren
ankennen	aankunnen
aankwakken tegen	aankwakken tegen
aankweken	aankweken
aanlaggen, aanlagen	aanlachen
aanlannen	aanlanden
anlangen	aanlangen
aanlangen	aanlangen
anlàngs, langs	aanlangs
anloaten	aanlaten
anloaten	aanlaten
engelse anleg, engelse toen	aanleg
aanleg	aanleg
aanleggen	aanleggen
aanlaaiden	aanleiding
aanlaaiden	aanleiding
aanleren	aanleren
aanleunen	aanleunen
anliggen	aanliggen
anliggen, slicht	aanliggen
anlaiven, anlijven	aanlijven
anlijven, anlaiven	aanlijven
aanloeren	aanloeren
tokkeren	aanlokken
anloop	aanloop
aanloop	aanloop
roam, dompe, dons, knob, ronkonkel, steut, stoot, stöt, stötje, terwinkel, troevel, truvel	aanloop, plotselinge -, stoot
anloopen, anëten	aanlopen
anloopen, opnemen	aanlopen
anlooper	aanloper
anlöten	aanloten
aanmoaken	aanmaken
aanmokkers	aanmakers
aanmoanen	aanmanen
moanen	aanmanen, manen
anmoanens, en	aanmaning
aanmoanen, moansedel	aanmaning
moansedel, aanmoanen	aanmaning
anmeedern	aanmeerderen
aanmìngen, aanmongen, heb aanmìngd	aanmengen
anmennen	aanmennen
aanmaarken	aanmerken
anmarkens, en	aanmerking
aanmeten	aanmeten
aanmoudegen	aanmoedigen
aanmonstern	aanmonsteren
aannaaien	aannaaien
anneemboar	aanneembaar
annemelk	aannemelijk
aannemelk	aannemelijk, leergierig, plezierig (in omgang)
annemen, inleggen	aannemen
annemen, abbelijern, inleggen	aannemen
aannemen	aannemen
aannemen	aannemen
aannemer	aannemer
annemersklijd	aannemerskleed
anpeertjen, peertjen	aanpaarden
anpeertjen	aanpaarden
aanpittjen	aanpaarden
aanvatten	aanpakken
tamtaaiern, mevaaiern, naren, negern, nietjen, nippen, nirten, nittjen, oetsen, ploagen, taargen	aanpakken, fors -, plagen
aankriegen	aanpakken, nemen
anpeuzeln	aanpeuzelen
anpietsken, pietsken	aanpietsen
anpietsken, pietsken	aanpietsen
aanpikken	aanpikken
aanplakken	aanplakken
aanplempen	aanplempen
anpoesten, poesten	aanpoesten
anprietjen	aanprijzen
aanpriezen	aanprijzen
aanpriezen, aanzuiten	aanprijzen
aanprietjen	aanprijzen, opdringerig -, opdringen
aanzuiten, aanpriezen	aanprijzen, verlekkeren
anpúlen	aanpullen
aanpunten	aanpunten
anragen, anreden	aanragen
anragen	aanragen
anroaken	aanraken
aanroaken	aanraken
aankomen, aangoan, begunnen, hìngoan, vegen, in -	aanraken, beginnen, getroffen worden (fig.)
aanroaken	aanraking
anrantjen	aanranden
anricht, schuddelbank	aanrecht
anricht, potrik	aanrecht
aanricht	aanrecht
schuddelbaank	aanrecht
anrekemedijern	aanrecommanderen
anred, ijgenred	aanreden
anreden	aanreden
anrijden, anraiden, anreden	aanreden
anrijden, anred, rijden	aanreden
anregen	aanregenen
aanlangen, aangeven	aanreiken
toulangen, aanlangen, langen	aanreiken
aanlangen, doun, geven, langen, toulangen	aanreiken, geven
langen, aanlangen, doun, geven, toulangen	aanreiken, geven
aanlangen	aanreiken, overhandigen
anreken	aanrekenen
aanreken	aanrekenen
anrunnen, runnen	aanrennen
aanrichten	aanrichten
anrieden	aanrijden
aanrieden	aanrijden
hai rit aan	aanrijden
anreien	aanrijgen
aanrijen, aanredden	aanrijgen
anriepen	aanrijpen
anrieten, rieten	aanrijten
anroupen, anhoalen	aanroepen
anroupen, anhoalen	aanroepen
aanroupen, aanhoalen	aanroepen
anruiern	aanroeren
aansch, oansch, zinnig	aans
aanschavven	aanschaffen
aanschavven, aanstellen, toustellen	aanschaffen
toustellen, aanschavven, aanstellen	aanschaffen
anschaffer, schaffer	aanschaffer
anschaffer, schaffer	aanschaffer
anscheren	aanscheren
anscheren	aanscheren
anscharpen	aanscherpen
anscharpen	aanscherpen
aanschaarpen, aanpunten	aanscherpen
anschudel, anschötel, eels	aanscheutel
anscheuveln, anëten	aanscheuvelen
antjeschijten, antjen	aanschieten
anschieten, schietert	aanschijten
anschonten, anschontjen, schontjen	aanschooien
anschopperei	aanschopperij
aanschopperij moaken	aanschopperij maken
anschortjen, anschonten	aanschorten
anschrieven, schouzool	aanschrijven
verschrijvinge	aanschrijving
aanschoeven	aanschuiven
aankrözzen	aansjokken
ansjorren, sjorren	aansjorren
ansloagen	aanslaan
opslaan	aanslaan, aanplakken
anslag	aanslag
ansloagen	aanslag
anslag	aanslag
aanslepen	aanslepen
opslag, touslag	aanslibbing, opslagplaats
aansloeten	aansluiten
aansluitingsdijk	aansluitingsdijk
ansneien, andundern	aansneeuwen
aansnieden	aansnijden
anspannen	aanspannen
anspellen	aanspelden
anspeulen	aanspelen
anspitsen, anscharpen	aanspitsen
aanspitsen	aanspitsen
aanspuilen	aanspoelen
anslân	aanspoelen, aandrijven, grootspreken, overdrijven
anveerdigen	aansporen
aanschrieven	aansporen (schrift.), opschrijven
aankittjen, aanpeerdjen, kitsken, kittjen, peerdjen, peerdken	aansporen, klikklakken
peerdjen, peerdken, aankittjen, aanpeerdjen	aansporen, paarden, omgaan met -
ansproak, anspreken	aanspraak
aansproakelk	aansprakelijk
anspreken, anloop	aanspreken
aanspreken, aanhollen	aanspreken
aantoalen	aanspreken
aantoalen	aanspreken
doodbidder	aanspreker
laidaanzegger, lijaanzegger	aanspreker
lijaanzegger, laidaanzegger	aanspreker
leianzeger	aanspreker, doodbidder
anstoan	aanstaan
aanstoan	aanstaan
aanstoande	aanstaande
ankom	aanstaande
anstalte	aanstalten
kloareghaid	aanstalten
aanstalten moaken	aanstalten maken
reeuwen	aanstalten maken
aanstappen	aanstappen
aanstoaren	aanstaren
ansteken, anscheren	aansteken
anstoken, doenighaid	aansteken
aansteken	aansteken
aansteken, aanpoken, aanpoten, aanstellen	aansteken, besmetten
aanbuiten, buiten	aansteken, vuur -
buiten	aansteken, vuur -
anstellen, zich, anzetten	aanstellen
anstellen, anzetten	aanstellen
aanstellen	aanstellen
aanstellen, aanschavven, aansteken, toustellen	aanstellen, aanschaffen, aansteken
maalderd	aansteller
hebbelachteg	aanstellerig
hebbelachteg, eelsk, hui	aanstellerig
hui, eelsk, hebbelachteg	aanstellerig, dun (v. vloeistof)
eelsk, daarten, hebbelachteg, hui	aanstellerig, speels (v. paarden)
anstellerei	aanstellerij
aanstelderij	aanstellerij
maalstoatsies, meneuvels, mettereghaid, metterij	aanstellerij
mettereghaid, metterij, maalstoatsies, meneuvels	aanstellerij
meneuvels, kromsprongen, maalstoatsies, mettereghaid, metterij	aanstellerij, gebaren, uitvluchten
bliebel, eelske-	aanstelster
eelske bliebel, eelske medde, eelske met, eelske mette, hibbel, maalfots, maalfotse, oelepetoet	aanstelster
eelske medde, eelske bliebel, eelske met, eelske mette, hibbel, maalfots, maalfotse, oelepetoet	aanstelster
eelske met, eelske bliebel, eelske medde, eelske mette, hibbel, maalfots, maalfotse, oelepetoet	aanstelster
eelske mette, eelske bliebel, eelske medde, eelske met, hibbel, maalfots, maalfotse, oelepetoet	aanstelster
maalfotse, maalfots, eelske bliebel, eelske medde, eelske met, eelske mette, hibbel, oelepetoet	aanstelster
medde, eelske -	aanstelster
met, eelske -	aanstelster
mette, eelske -	aanstelster
oelepetoet, dwaarshoes, eelske bliebel, eelske medde, eelske met, eelske mette, hibbel, maalfots, maalfotse	aanstelster, persoon, tegendraads -
hibbel, eelske bliebel, eelske medde, eelske met, eelske mette, maalfots, maalfotse, oelepetoet, snokkel	aanstelster, snoeshaan
anstengeln	aanstengelen
aanstaarken	aansterken
ansteveln	aanstiefelen
anstikken, anturen	aanstikken
ansteukelder	aanstokelaar
ansteukeln	aanstokelen
stommeln	aanstommelen
dâlkies	aanstonds
anstons, anzent, anzens	aanstonds
anzent, anzens	aanstonds
stonties	aanstonds
aanstends	aanstonds, straks
aansteut	aanstoot
aansteudelk	aanstotelijk
ansteuten	aanstoten
anstutjen, stutjen	aanstoten
aansteuten	aanstoten
ansteuven	aanstuiven
aansturen	aansturen
aansokkeln	aansukkelen
antal	aantal
aantal, getal	aantal
koppel, loag, loage	aantal
loage, loag, koppel	aantal, laag
antoalen	aantalen
aantasten	aantasten
antijken, anteiken	aantekenen
aantaiken	aantekenen
notaaiern	aantekenen
aantaiken	aantekenen
anteerd, anteren	aanteren
anteren	aanteren
tú an, bol	aantijgen
aanlopen	aantikken (fig.), gedekt worden (schapen)
aankrummeln	aantikken, erbij -
antippen, anloopen	aantippen
oantje	aantje
antjen	aantjen
antocht	aantocht
aantocht	aantocht
antoeken	aantokken
aanteunen	aantonen
aantrekkelk	aantrekkelijk
antrekken	aantrekken
aantrekken	aantrekken
antrouen	aantrouwen
aantraauwen	aantrouwen
antuurd, anturen	aantuieren
anturen	aantuieren
anuren, uren	aanuieren
antasten	aanvaarden
anveerden	aanvaarden
anveerden	aanvaarden
aanveren, aanveerden, aanveerdegen	aanvaarden
aanveerden, aanvoarden	aanvaarden
aanvoarden, aanveerden	aanvaarden
anval	aanval
aanval	aanval
anvallen, anval	aanvallen
aanvalen	aanvallen
ankomst	aanvang
aanvoaren	aanvaren
anvechten	aanvechten
aanvegen	aanvegen
aanstrieken	aanvegen
anvargen	aanvergen
anvârgen	aanvergen
anvlijgen, vlijgen	aanvliegen
aanvlaigen	aanvliegen
aanvuilen	aanvoelen
beleiden	aanvoeren
anvuren, anvouern, anvuiern	aanvoeren
anvuren	aanvoeren
aanvuiern	aanvoeren
aanvurgen	aanvoren
aanvroage of aanvroag	aanvraag
aanvreten	aanvreten
aanvuren	aanvuren
aanwaaien	aanwaaien
anwaisel	aanwaaisel
anwaisel, labbabbel, wai	aanwaaisel
anwallen	aanwallen
anwas	aanwas
’n aanwennen	aanwennen
aanwìnsel, aanwìnst	aanwensel
an wezen	aanwezen
anwezen	aanwezen
an wezen	aanwezen
aanwezeg, perzìnt, prezìnt	aanwezig
prezìnt, perzìnt, aanwezeg	aanwezig
anwies	aanwijs
anwiezen	aanwijzen
anwiezen	aanwijzen
aanwiezen	aanwijzen
anwiis	aanwijzing
aanwies	aanwijzing
an willen	aanwillen
toewinnen	aanwinnen
anwinnen	aanwinnen
aanwinst	aanwinst
anworden, anwoddîng, en	aanwording
onstraffelijk, straffen	aanwraakbaar
anzeggen	aanzeggen
anzet, anzetten	aanzet
anzetten, deurzetten	aanzetten
anzetten	aanzetten
anzetten, anstellen	aanzetten
voortstoepen	aanzetten, bewonderen
aanzicht	aanzicht
anzijn	aanzien
anzijn	aanzien
anzijn	aanzien
anzijn	aanzien
aanzain	aanzien
anzitten, an	aanzitten
aanzuik	aanzoek
anzuiten, ofzuiten	aanzoeten
anzweng, answeng	aanzwenk
anzweng	aanzwenk
anzwetten, answetten, swet	aanzwetten
oap	aap
oabe, oap, oape	aap
oape, oap, oabe	aap
eure, oar	aar
oar, eure	aar
moueröre	aar
oard, bijssien	aard
oart	aard
oard, bijssien	aard
oard, genougen, gevaleghaid, nocht, nucht, oardeghaid, wil, wille	aard, genoegen, soort
eerappel, eerdappel, eertappel, graustammen	aardappel
eerdappel, eertappel	aardappel
eertappel (Old. en Ww.), eerappel	aardappel
pieper, ....erd	aardappel
eerappels, eerbels	aardappel
eerabbel, eerappel, tovvel	aardappel
tovvel, eerabbel, eerappel	aardappel
eerappelballen, eerdappelknoppen	aardappelbal
eerappelbloud, eerappel	aardappelbloed
eerdappelbult, eerappelbult, bult, eerdappel	aardappelbult
eerdappeldoggen	Aardappeldoggen
eerappeldollen, dollen, eerdappeljassen	aardappeldollen
eerdappeldollen	aardappeldollen
eerdappelfoabriek	aardappelfabriek
eerappelgört	aardappelgort
eerappelhauen, hou	aardappelhouwen
eerdappeljassen	aardappeljassen
eerpeljassen, eerdappeljassen	aardappeljassen
eerdappeljassen	aardappeljassen
eerdappelklaien, eerappelkleien, eerdappelruden	aardappelkleien
eerdappelknoppen	aardappelknop
eerappelkrabben, eerdappelruden	aardappelkrabben
eerdappelkrabber	aardappelkrabber
eerappelland, eerdappelland	aardappelland
eerappelfebriek	aardappelmeelfabriek
eerappelpekel, aispekel	aardappelpekel
eerdappelruden, eerappelreuden	aardappelrooien
ruder, kraber	aardappelrooier
kraber, hakkenkruk, hakkenkrukke, kraabhak, kraauwel, ruder	aardappelrooier, krabbelaar (schaatsen), werktuig, tuin-, tuinwerktuig
aardappelrooster, eerappelzeef	aardappelrooster
modderreuster, modderzeef	aardappelrooster
kedovvels, kedonzels	aardappels
pestorenknòllen, kedovvels	aardappels
kedonzels, kedovvels	aardappels
eerappels, eerpels	aardappels
eerappels prikken	aardappels prikken
eerdappelschillen, eerappelschillen, eerdappeljassen	aardappelschillen
eerappelschilder, eerdappelschilder	aardappelschiller
kopmeske	aardappelschilmesje
koapke, koapmeske, kopmeske, schildersmeske	aardappelschilmesje, schilmesje, mesje
eerappelsjaawer	aardappelsjouwer
roodsprute jammen, roodspruten (Hl.)	aardappelsoort
eerpelzammeln, zammeln	aardappelzamelen
eerappelzeef, aardappelzeef	aardappelzeef
hor, raasp, raaspe, reuster	aardappelzeef
raaspe, raasp, hor, reuster	aardappelzeef
reuster, hor, raasp, raaspe	aardappelzeef, rooster
eerdappelzömertje	aardappelzomer
eerappelzummer	aardappelzomer
eerbeien, eerbaien, eertjebeien, irdjebeie	aardbei
eerbeien	aardbei
erebaai, eerbaai (W.K.), eerbij, eertjebij, ittjebij, moandbluiers	aardbei
eerbaaie, eerbaai, eerbij, eerdjebij, ittjebij	aardbei
eerdjebij, eerbaai, eerbij, ittjebij	aardbei
ittjebij, eerbaai, eerbij, eerdjebij	aardbei
ittjebijen (Old. en Ww.)	aardbeien
eerbeien	aardbeien
ringelbòlt (W.K.)	aardbeiklaver
eerbulten, bult	aardbult
eerde, eer	aarde
eer, eerde, erde, dood	aarde
eerd (Hl.), eer	aarde
eerde, eer, oarde	aarde
oarde, eerde	aarde
eerde	aarde (planeet)
eer, grond	aarde (stofn.)
grond, eer	aarde (stofn.)
modder, bragel, jiddel, joepe, modderproeksel, mork, sliek	aarde (zwarte -), slijk
aaneerden	aarde brengen over
eerbultjen, eermìnnen	aarde over ʼt land brengen
eermìnnen, eerbultjen	aarde over ʼt land brengen
eerde	aarde, modder
eerdemennen, eermennen, bult	aardemennen
eerden	aarden
noaturen, oarden	aarden
oarden, noaturen	aarden, groeien, welig -
staingoud	aardewerk
diggelgoud, diggel, staingoud	aardewerk
diggel, diggelgoud, schaarf, staingoud	aardewerk, scherf
staingoud, diggel, diggelgoud	aardewerk, serviesgoed
graauwke	aardgeest
eerhakken, eerbulten	aardhakken
aardeg	aardig
eereg	aardig
oarig	aardig
oarig	aardig
oard	aardig
oardeg, nuver, orreg	aardig
orreg, nuver, oardeg	aardig
nuver, eerlieks, fleeg, helder, kerdoat, kerelachteg, mooi, oardeg, orreg, roar, snaideg, sniedeg, swiet, terdeeg, terdege	aardig, flink, mooi, raar
nuver	aardig, lief
nuver	aardig, mooi, knap
numig	aardig, vlug, vlijtig
nuterig, numig	aardig, vlug, vlijtig
oareghaid	aardigheid
oarighaid	aardigheid
ittje baaien	aardjebei
eerdkoar, eerdemennen	aardkar
eerdmietje	aardmietje
eertmietje	aardmietje
eerpopel	aardpopel
eerdröt	aardrat
eerdriek	aardrijk
oardriek	aardrijk
oardriekskunde	aardrijkskunde
oardvat	aardvat
eerwal, wörke	aardwal
eerwal	aardwal
oardsoam	aardzaam
moars, moarze, neers, heuker, mond	aars
neers	aars
moars, moaze	aars
neers	aars
neers, neerze	aars
neerskarve, neerskalve	aarskerf
eerslings	aarslings
eerste	aarts-
staflui	aartslui
oartsvoader	aartsvader
mietje	aarzelaar
druddeln, druljen, drullen, druntjen, drutjen, drutten, oarzeln	aarzelen
druljen, drullen, druddeln, druntjen, drutjen, drutten, oarzeln	aarzelen
drutjen, drutten, druddeln, druljen, drullen, druntjen, oarzeln	aarzelen
oarzeln, druddeln, druljen, drullen, druntjen, drutjen, drutten	aarzelen
oarzelmoand	aarzelmaand
oas	aas
oas, hoas	aas (in kaartspel), aas (prooi), meisje, lastig -
hoas, hoaze, oas	aas (in kaartspel), haas
aasdomsrecht	aasdomsrecht
oasnek, oas	aasnek
oasnekkertje, oas	aasnekker
oat	aat
abbabbel, labbabbel, lebabbel, kebabbel, anwaisel	ababbel
kebabbel, abbabbel, labbabbel	ababbel
oabeldoedas, labberdoedas	abbedoedas
oa, bij, cij	abc
witblad	abeel
witblad	abeel, witte
Oabel	Abel
Oabeltje	Abeltje
aber, oaber, oabers	aber
aber, oaber	aber
oaber, aber	aber
aber!, oaber!	aber
oabram, kiep	abraham
Oabram	Abraham
Oabram	Abraham
appelkozen	abrikoos
appelkoos	abrikoos
Absalom	Absalom
absluut, apsluut, opsluut, omsluut	absoluut
opsluut, omsluut	absoluut
zekerwoar	absoluut
absört, apsört, opsört	absurd
abt en voogd	abt en voogd
abbuus, oa	abuis
abuus	abuis
buuls	abuis
apsepteren	accepteren
aksiens	accijns
akkordion	accordeon
akkedijern	accorderen
akkedijern	accorderen
akkedaaiern	accorderen
akku	accu
akkeroat!	accuraat
hai	ach
ach und wei	ach en wee
hakzeen	Achillespees
aacht, aachte (Vk., Old. en Ww.)	acht
aacht, acht	acht
acht, aacht	acht
aachte, aacht, acht	acht
achte, acht, aacht, aachte	acht
achdoag, achdoage, achste	acht dagen
achtboar	achtbaar
achten	achten
achtentachenteg, kond	achtentachtig
achtentwinteg, klop	achtentwintig
achtentwintig	achtentwintig
’n acht en twintig	achtentwintig
acht en twintig stuvers reuster	achtentwintigstuiversrooster
achter, wand	achter
achter, achteranzitten	achter
in ʼt achtern, in, t, veuren	achter
achter	achter
achternkander an	achter elkaar aan
achter stad, bovenstad	achter stad
noagoan	achter zijn, nagaan
achteraan	achteraan
achterwegens	achteraan, achter, achterwege
achterheer, der -	achteraan, er -
achtertou, der -	achteraan, er -
der achterheer, der achtertou	achteraan, er -
der achtertou, der achterheer	achteraan, er -
achteranbongeln, achteranbungeln, bongeln	achteraanbengelen
achterankieken	achteraankijken
achterankomen	achteraankomen
achteranloopen, noaloopen	achteraanlopen
achteranloopen	achteraanlopen
achteransteken	achteraansteken
achteranstok, achteranstuk	achteraanstuk
achteranzitten	achteraanzitten
achteranzitten, heer	achteraanzitten
achteroet	achteraf (van de weg af)
achterofbloazen	achterafblazen
achterofdijlen	achterafdeel
achterofstroat	achterafstraat
achterboan, achterboane	achterbaan
achterbaks	achterbaks
achterbint	achterbind
achterbinde, achterbien, achterbiende, ie	achterbinde
achterbinde	achterbint
achterborst	achterborst
achterdeel	achterdeel
achterdeuren	achterdeur
baanderdeur, baander, baansder, baansderdeur	achterdeur (van boerderij)
baansderdeur, baansder, baander	achterdeur (van boerderij)
achterdocht, omdenken	achterdocht
achterdocht, omdenken	achterdocht
aargdìnkend	achterdochtig
achterende, binhoes, dom	achtereind
achterèn, achterende, binhoes	achtereinde
achtern, binhoes	achteren
achtergoding, goding	achtergoding
rechte, t - gewoar worden	achterhalen, de waarheid -
t rechte gewoar worden	achterhalen, de waarheid -
achterhaand	achterhand
achterhek, boerenwoagen	achterhek
achterheerzitten, achtereerzitten, achteranzitten	achterherzitten
achterhollen	achterhouden
onderhouden	achterhouden, verbergen
achterhoes, achterhuus, oe	achterhuis
achter hutte, stookhok	achterhut
achterkeuken	achterkamer
achterkaande of achterkaant	achterkant
achterkastijl, achterborst	achterkasteel
achterketijer	achterkwartier
achterloader	achterlader
achterlastig worden	achterlastig
achterlastig	achterlastig
achterlegger, damlegger	achterlegger
achterleggers, damleggers	achterlegger
achteraan, achterliek, achteroet, achteruut, slicht	achterlijk
achterliek, achteraan, achteroet, achteruut, slicht	achterlijk
achteroet, achteraan, achterliek, achteruut, slicht	achterlijk
achteruut, achteraan, achterliek, achteroet, slicht	achterlijk
achterling	achterling
