eerdappeldoggen	Aardappeldoggen
Eentje	Hendrika
Rieks	Hendrikus
Mans	Herman
Menje	Hermanna
t	Het
Haaiman	Hijman
Inderk	Hinderk
iddelder	Hitler
Hoogeland	Hogeland
hollander	Hollander
Holst	Holstein
Holstainer	Holsteiner
Honnust	Hondennest
Hunsegoo	Hunsingo
Innersdiek	Innersdijk
Izrels	Israels
Jisroel	Israël
Israeliet	Israëliet
Italioaner	Italiaan
Koopke	Jacoba
Jauwerswiek	Jagerswijk
Jaan	Jan
Jaanje	Jantje
Jeruzelem	Jeruzalem
Jiddisj	Jiddisch
Joust	Joost
Jukkerd	Jukwerd
koarschoevers	Karrenschuivers
ketrien	Katharina
katten	Katten
kea	Kea
midwintersdoagen	Kerstdagen
ketelschieters	Ketelschijters
kistenkasten	Kistenkasten
Kloas	Klaas
kloaroa	Klara
kleiker	Kleiers
knollenboer	Knollenboeren
koukvreters	Koekvreters
korrod	Koenraad
kouert	Koert
kouvreters	Koevreters
Kòk	Koksioan
Hamster	Kolhamster
krabben	Krabben
kraiwerd	Krewerd
kruudgraft	Kruitgracht
Könje	Kunigunde
kunnoa	Kunje
Lammert	Lambert
laplander	Lap
Loazerus	Lazarus
Lijndert	Leendert
laaiden	Leiden
Laip	Leip
Laip	Levi
Lipsker	Lipser
Lizzebon	Lissabon
Loeks	Lucas
lòilekkerlaand	Luilekkerland
Lutters	Luthers
Lutjenijchien	Lutkenieuwstraat
Lutkenijchien	Lutkenieuwstraattje
Mij	Made
Mederoa	Madera
Moanje	Manuel
Miegrait	Margaretha
Mereike	Maria
Merie	Marie
Moarem	Marum
Mais	Meeuwis
Maaindert	Meindert
Menistenvermoanen	Menistenkerk
vermoaner	Menistenvoorganger
Mìnkemoa	Menkemaborg
metworsten	Metworsten
Maaier	Meïr
Miggel	Michiel
Milbert	Middelbert
midloaren	Midlaren
mokum	Mokum
moos	Mozes
Muntjeziel	Munnekezijl
Néérduuts	Nederduits
Nijtap	Nietap
Beesterhammerk	Nieuw-Beerta
Scheemterhammerk	Nieuw-Scheemda
Noorbrouk	Noordbroek
Noorderdieken	Noorderdijk
Norewind	Noordewind
Noordwolle	Noordwolde
Nörg	Norg
nutsspoarbank	Nutsspaarbank
Oldampt	Oldambt
Òlhoof	Oldehove
Oostanje	Oost-Indië
Oosterampt	Oosterambt
Oostindievoarder	Oostindievaarder
Oostemhörn	Oostmahorn
Oldiek	Oudedijk
Overiezel	Overijsel
poaskepronk	Paaspronk
peries	Parijs
Pâsk	Pasen
pekelderhollands	Pekelderhollands
pekeldervracht	Pekeldervracht
peiseg	Pesach
Pait	Piet
Paitje	Pietje
Pinkster	Pinksteren
pollen	Pollen
Pruus	Pruis
Pruzen	Pruisen
Pruzenpolder	Pruisenpolder
pruisies	Pruisisch
Bet	Rebekka
Raainder	Reinder
Raaint	Reint
Raitdijp	Reitdiep
Rikkert	Richard
Roulf	Roelf
Roulf	Roelof
Oog	Rottumeroog
Ploat	Rottumerplaat
roulf	Rudolf
Ruslu	Ruslui
Sottje	Saartje
saks	Saksisch
sap	Sappeg
Sapmeer	Sappemeer
Soaro	Sara
saul	Saul
Schansker	Schanser
Aailaand	Schiermonnikoog
Schewòl	Schildwolde
Sebalderboeren	Sebaldeburen
Zelgen	Sellingen
Sunt-Joap-valgen	Sint-Jakob-valgen
Suntermeerten	Sint-Maarten
smaai	Smaai
smalruggen	Smalruggen
Smeerlke	Smeerling
Spanspools	Spaans-Pools
Spanjoard	Spanjaard
Steffen	Stefanus
Steernbos	Sterrebos
Stevven	Steven
zoaddörskersstoet	Switserbrood
maauwhemd	T-shirt
Taiwes	Teeuwis
Taischen	Thesinge
Tais	Thijs
tèbekken	Thorbecke
Trientje	Trijntje
Toekert	Tuikwerd
plastic-vergoadern	Tupperware-party
Törk	Turk
Törken	Turken
Törks	Turks
Tusschendiepen	Tussendiepen
olze	Ulsda
munsterzen	Veelnks
Veenhoezen	Veenhuizen
vlijsvreters	Vleesvreters
Vloonust	Vlooiennest
Wadkoart	Wadkaart
Warfumerklooster	Warffumerklooster
wettewoarsgoud	Wedgewood-aardewerk
Westerampt	Westerambt
Wòlgens	Westerwolds
Veels	Westfaals
veelnk	Westfaling
Wibbolt	Wigboldus
wiedboksems	Wijdboksen
Sodommer	Winschoter
witborstjes	Witborstjes
wolgen	Wolgen
Wolnghoezen	Wollinghuizen
Santippe	Xantippe
Zais	Zeeuws
Zoltkamp	Zoutkamp
Zuderzee	Zuiderzee
Zuudwòl	Zuidwolde
Swòl	Zwolle
oabébouk	a-b-boek
ai	aai
aien	aaien
oal	aal
aalbeerns	aalbes
albeernboom	aalbessenboom
albeernbos	aalbessenbos
albeernnat	aalbessennat
albeernwien	aalbessenwijn
oalfoek	aalfuik
oalstiekel	aalstekel
oaltje	aaltje
oaltrekkerei	aaltrekkerij
oaltoek	aalvork
ambolt	aambeeld
takken	aambeien
naauwborsteg	aamborstig
oam	aamt
an	aan
anbakken	aanbakken
anbakkern	aanbakkeren
anbegun	aanbegin
anbetoalen	aanbetalen
anbetern	aanbeteren
rekomdaaiern	aanbevelen
aanbaiden	aanbieden
aanbinnen	aanbinden
aanpoesten	aanblazen
anblieven	aanblijven
aanbuiten	aanboeten
aanbaauw	aanbouw
anbraiden	aanbreien
anbreken	aanbreken
wrogen	aanbrengen
andacht	aandacht
andeel	aandeel
aandinken	aandenken
andijnen	aandienen
andei	aandij
andoun	aandoen
andundern	aandonderen
andraid	aandraaien
aandroagen	aandragen
aandrieven	aandrijven
anstân	aandringen
aandrokken	aandrukken
aanduden	aanduiden
aanduren	aandurven
aanfaailen	aandweilen
anëten	aaneten
aangoan	aangaan
aangoande	aangaande
angappen	aangapen
anbonnen	aangebonden
anbraid	aangebreid
ankeurd	aangekeurd
aanlopen	aangelopen
aangenoam	aangenaam
annomen	aangenomen
aanschoten	aangeschoten
antrokken	aangetrokken
angeven	aangeven
anzet	aangezet
anglennen	aangloeien
aangloepen	aangluipen
aanswetten	aangrenzen
angriepen	aangrijpen
florren	aanhalen
aanhoaleg	aanhalig
anhoalings	aanhaling
beklemmet	aanhangig
anharken	aanharken
anheling	aanheling
aanhemmeln	aanhemelen
hessen	aanhitsen
anheurders	aanhoorder
aanheuren	aanhoren
anholt	aanhoud
anhollen	aanhouden
anholder	aanhouder
aanjoagen	aanjagen
anjuk	aanjuk
ankalken	aankalken
ankeutern	aankeuteren
ankiek	aankijk
aankieken	aankijken
sanen	aanklagen
aanrandjen	aanklampen
aanklaiden	aankleden
ankniepen	aanknijpen
anknuppen	aanknopen
ankouvern	aankoeveren
ankomen	aankomen
kondigen	aankondigen
ankoppeln	aankoppelen
ankriegen	aankrijgen
aankroden	aankruien
aankroepen	aankruipen
aankruusken	aankruisen
aankoiern	aankuieren
ankennen	aankunnen
aanlannen	aanlanden
anlangen	aanlangen
anloaten	aanlaten
aanlaaiden	aanleiding
anliggen	aanliggen
tokkeren	aanlokken
anloop	aanloop
anlooper	aanloper
anlöten	aanloten
aanmoaken	aanmaken
aanmokkers	aanmakers
aanmoanen	aanmanen
anmeedern	aanmeerderen
anmennen	aanmennen
aanmaarken	aanmerken
aanmoudegen	aanmoedigen
aanmonstern	aanmonsteren
anneemboar	aanneembaar
annemelk	aannemelijk
annemersklijd	aannemerskleed
anpeertjen	aanpaarden
aanvatten	aanpakken
anpeuzeln	aanpeuzelen
aanpriezen	aanprijzen
anpúlen	aanpullen
anragen	aanragen
aanroaken	aanraken
aanroaken	aanraking
anrantjen	aanranden
schuddelbaank	aanrecht
anrekemedijern	aanrecommanderen
anreden	aanreden
anregen	aanregenen
anreken	aanrekenen
aanrieden	aanrijden
anreien	aanrijgen
anriepen	aanrijpen
anruiern	aanroeren
aanschavven	aanschaffen
anscheren	aanscheren
anscharpen	aanscherpen
anschopperei	aanschopperij
verschrijvinge	aanschrijving
aanschoeven	aanschuiven
aankrözzen	aansjokken
ansloagen	aanslaan
anslag	aanslag
aansloeten	aansluiten
aansnieden	aansnijden
anspannen	aanspannen
anspellen	aanspelden
anspeulen	aanspelen
aanspuilen	aanspoelen
anveerdigen	aansporen
aansproakelk	aansprakelijk
aantoalen	aanspreken
doodbidder	aanspreker
anstoan	aanstaan
ankom	aanstaande
kloareghaid	aanstalten
aanstoaren	aanstaren
maalderd	aansteller
hebbelachteg	aanstellerig
anstellerei	aanstellerij
anstengeln	aanstengelen
aanstaarken	aansterken
ansteveln	aanstiefelen
ansteukelder	aanstokelaar
ansteukeln	aanstokelen
stommeln	aanstommelen
dâlkies	aanstonds
aansteut	aanstoot
aansteudelk	aanstotelijk
ansteuten	aanstoten
ansteuven	aanstuiven
aansokkeln	aansukkelen
antal	aantal
antoalen	aantalen
aantaiken	aantekenen
anteren	aanteren
oantje	aantje
antjen	aantjen
antocht	aantocht
antoeken	aantokken
aanteunen	aantonen
aantrekkelk	aantrekkelijk
antrekken	aantrekken
antrouen	aantrouwen
anturen	aantuieren
antasten	aanvaarden
anval	aanval
aanvalen	aanvallen
ankomst	aanvang
aanvoaren	aanvaren
anvechten	aanvechten
aanstrieken	aanvegen
anvargen	aanvergen
aanvlaigen	aanvliegen
aanvuilen	aanvoelen
anvuren	aanvoeren
aanvurgen	aanvoren
anwaisel	aanwaaisel
anwallen	aanwallen
anwas	aanwas
anwezen	aanwezen
anwies	aanwijs
aanwiezen	aanwijzen
aanwies	aanwijzing
anwinnen	aanwinnen
anzeggen	aanzeggen
anzetten	aanzetten
aanzain	aanzien
aanzuik	aanzoek
anzweng	aanzwenk
oap	aap
moueröre	aar
oart	aard
eerdappeldollen	aardappeldollen
eerdappelfoabriek	aardappelfabriek
eerappelgört	aardappelgort
eerdappeljassen	aardappeljassen
eerdappelknoppen	aardappelknop
eerdappelkrabber	aardappelkrabber
eerappelfebriek	aardappelmeelfabriek
kopmeske	aardappelschilmesje
eerappelsjaawer	aardappelsjouwer
eerappelzummer	aardappelzomer
eerbeien	aardbei
eerbeien	aardbeien
eerden	aarden
staingoud	aardewerk
graauwke	aardgeest
oard	aardig
oareghaid	aardigheid
eerdmietje	aardmietje
eerpopel	aardpopel
eerdröt	aardrat
eerdriek	aardrijk
oardriekskunde	aardrijkskunde
oardvat	aardvat
eerwal	aardwal
oardsoam	aardzaam
neers	aars
eerslings	aarslings
eerste	aarts-
staflui	aartslui
oartsvoader	aartsvader
mietje	aarzelaar
oarzelmoand	aarzelmaand
oas	aas
oat	aat
witblad	abeel
appelkoos	abrikoos
zekerwoar	absoluut
abuus	abuis
apsepteren	accepteren
aksiens	accijns
akkordion	accordeon
akkedaaiern	accorderen
akku	accu
akkeroat!	accuraat
hai	ach
achtboar	achtbaar
achterankieken	achteraankijken
achterankomen	achteraankomen
achteranloopen	achteraanlopen
achteransteken	achteraansteken
achteranzitten	achteraanzitten
achterofbloazen	achterafblazen
achterofdijlen	achterafdeel
achterofstroat	achterafstraat
achterbint	achterbind
achterbinde	achterbint
achterdeuren	achterdeur
aargdìnkend	achterdochtig
achterhaand	achterhand
achterhollen	achterhouden
achterkeuken	achterkamer
achterketijer	achterkwartier
achterloader	achterlader
achternoam	achternaam
achteromstroatje	achteromstraatje
achterstalleg	achterstallig
achtersteveur	achterstevoren
achteroetboerken	achteruitgaan
achteroetleeren	achteruitleren
achteruutruggeln	achteruitruggelen
achterrad	achterwiel
achteg	achtig
achten	achting
achste	achtste
achtien	achttien
achtentwintigsten	achtwintigste
achtsoam	achtzaam
aksie	actie
edder	adder
adderroet	adderruit
oadel	adel
oarend	adelaar
oam	adem
oamen	ademen
zike	ademhaling
loaden	aderlaten
oamen	adesnen
tjeu	adieu
admiroal	admiraal
advertaaiern	adverteren
afkoatenborrel	advocatenborrel
of	af
òf-	af-
ofakkedijern	afaccorderen
ofboaken	afbakenen
ofbakken	afbakken
òfbeeln	afbeelden
ofbladdern	afbladderen
ofbloadern	afbladeren
ofblauen	afblauwen
ofbluien	afbloeien
ofbosseln	afborstelen
ofbrek	afbraak
opbrannen	afbranden
òfbreken	afbreken
òfbringen	afbrengen
ofdak	afdak
òfdailen	afdeling
ofdokken	afdokken
ofdraien	afdraaien
ofdracht	afdracht
òfdroagen	afdragen
ofdreugen	afdrogen
affeer	affaire
offailen	affeilen
òffrontaaiern	affronteren
ofgoan	afgaan
afgemaald	afgebeeld
ofbroeken	afgebruiken
mèlk	afgekalfd
òfgelegen	afgelegen
ofgenaid	afgenaaid
ofgeeren	afgeren
ofgeschaaiden	afgescheiden
ofgetippeld	afgetippeld
òfgevoardegde	afgevaardigde
ofgeven	afgeven
ofgooien	afgooien
ofgries	afgrijs
òfgriezelk	afgrijselijk
òfgries	afgrijzen
ofgrondijern	afgronderen
ofhoalen	afhalen
ofhandeg	afhandig
òfhankelk	afhankelijk
ofhemmeln	afhemelen
afiekoumen	afikomen
ofjoagen	afjagen
ofkalven	afkalven
ofkennen	afkennen
ofklijden	afkleden
ofklounen	afkluwenen
begnauëlen	afknagen
ofknibbeln	afknibbelen
ofknooien	afknoeien
bekleumen	afkoelen
ofkomen	afkomen
òfkomst	afkomst
òfkundegen	afkondigen
ofkoft	afkopen
ofkorreln	afkorrelen
ofkregen	afkrijgen
ofkennen	afkunnen
ofkwelen	afkwellen
ofleggen	afleggen
oflegger	aflegger
oflaider	afleider
oflijnen	aflenen
òflevern	afleveren
ofloonen	aflonen
ofloopen	aflopen
oflullen	aflullen
ofmissen	afmesten
ofmuiten	afmoeten
ofnasken	afnasjen
ofnemen	afnemen
ofnieveln	afniefelen
ofpakken	afpakken
ofpegeln	afpegelen
ofpotterlijern	afportretteren
ofpunten	afpunten
òfbroddeln	afraffelen
striepen	afranselen
ofreken	afrekenen
ofrekken	afrekken
ofriggeln	africhelen
ofroffeln	afroffelen
òfrollen	afrollen
verpoltern	afrossen
ofsoabeln	afsabelen
òfschavver	afschaffer
ofschaiden	afscheiden
ofschaiden	afscheiding
ofschammeraiern	afschemeren
ofschijten	afschieten
ofschienen	afschijnen
ofschilfern	afschilferen
òfschillen	afschillen
ofschol	afschol
ofschrieven	afschrijven
ofschunen	afschuinen
vredegen	afschutten
ofsloagen	afslaan
ofslieten	afslijten
ofsloddern	afslodderen
òfsnieden	afsnijden
ofsnuustern	afsnuisteren
ofspellen	afspelden
òfspeulen	afspelen
ofspinnen	afspinnen
òfspreken	afspreken
ofspringen	afspringen
uetspruetsel	afstammeling
òfstammen	afstammen
ofstappen	afstappen
ofsteken	afsteken
ofstellen	afstellen
ofstraffen	afstraffen
ofstrieken	afstrijken
strupen	afstropen
ofstuiten	afstuiten
òftoakeln	aftakelen
oftakken	aftakken
oftiggeln	aftegelen
oftiggeln	aftichelen
ofgetippeld	aftippelen
oftokken	aftokken
oftreden	aftreden
oftrek	aftrek
òftrekken	aftrekken
oftroefeln	aftroefelen
oftroeveln	aftroffelen
oftrouen	aftrouwen
òfvoaren	afvaren
ofvörreln	afverrelen
ofvouern	afvoeren
ofvörken	afvorken
ofvreten	afvreten
òfwaaien	afwaaien
aankieken	afwachten
ofwaalder	afwaller
ofwoatern	afwateren
raaien	afwatering
ofwegen	afwegen
ofwolven	afwelven
ofwennen	afwennen
afwesent	afwezigheid
òfwiezen	afwijzen
òfwimpeln	afwimpelen
ofwinnen	afwinnen
opzeggen	afzeggen
ofzetsel	afzetsel
ofzetten	afzetten
ofziegen	afzijgen
ofzuiten	afzoeten
ofzolten	afzouten
agìnt	agent
à	ah
àhà!	aha
plofpuut	airbag
àjuus	ajuus
oakelk	akelig
oaker	aker
akkermantje	akkermannetje
akkerslooden	akkersloot
akkottjen	akkoorden
aal	al
albaster	albast
aalbum	album
alleer	aleer
allef	alef
allart	alert
aleksanderneuten	alexandernoten
aalgebroa	algebra
aalgedureg	algedurig
alliekeveul	algelijkveel
aalgemain	algemeen
oalias	alias
alliement	alignement
arkeneerwortel	alkannawortel
allà	alla
aalbaaident	allebei
aaldoags	alledaags
allé	allee
allene	alleen
altegoar	allegaar
altmoal	allemaal
blinder	allemachtig
altenmieter	allemieter
aal	allen
alshalve	allenthalve
alder	aller
alderoakelkst	allerakeligst
alderbarmhartegst	allerbarmhartigst
alderdeegs	allerdeegs
allerijvigst	allereeuwigst
adrillen	allerheiligen
Aldrilnmaark	allerheiligenmarkt
alderieselkst	allerijselijkst
allerjouelkst	allerjauwelijkst
alderlest	allerlaatst
alderlijst	allerliefst
aldernoarst	allernaarst
alderneudegst	allernodigst
aldernuverst	allernuverst
aldervrezelkst	allervreselijkst
alens	alles
allo!	allo
almenak	almanak
antmangs	almangs
aalmenak	almenak
assmis	almits
almeugend	almogend
hollewaai	aloë
as	als
aalze	alsem
alteroatsie	alteratie
alteerst	althans
ait	altijd
aloen	aluin
aalwaitend	alwetend
mantels	amandel
mantelklieren	amandelklier
ambt	ambacht
ambachtslú	ambachtslui
ambtenoar	ambtenaar
oamen	amen
anderdoags	anderdaags
anderdagsoavens	anderdaagsavond
anderdagsmörns	anderdaagsmorgen
andern	anderen
otergaaie	andergajes
aans	anders
andersôm	andersom
anderswoar	anderswaar
anderwegens	anderweegs
andievie	andijvie
annemoon	anemoon
oanen	anen
angeln	angelen
angsteg	angstig
annies	anijs
anjer	anjelier
ankern	ankeren
aanzichtkoart	ansichtkaart
antersiet	anthraciet
oapekool	apekool
oaperok	apenrok
abbekrief	apocrief
aptaik	apotheek
aptijker	apotheker
apperoat	apparaat
appelbuus	appelbuis
appeljoar	appeljaar
oapekoolkwint	appelkolokwint
smots	appelmoes
bonsjes	appels
Pril	april
aarbaid	arbeid
aarbaiden	arbeiden
aarbaider	arbeider
aarbaidshoeske	arbeidershuisje
aarbaiderskou	arbeiderskoe
arbaidsmènsen	arbeidsmensen
arbaisvrou	arbeidsvrouw
aarbaidsoam	arbeidzaam
archangels	archangel
oarend	arend
oarendsklauen	arendsklauw
oarenzammeln	arenzamelen
oarenzuikers	arenzoeker
aargeloos	argeloos
aarglisteg	arglistig
aggewaaiern	argueren
erg	argwaan
arkenijl	arkeneel
aarst	arks
aarm	arm
arm’	arme
aarmelu	armelui
armkoamers	armenkamer
armlasten	armenlast
armrecht	armenrecht
armharteg	armhartig
aarmhoes	armhuis
aarmlasteg	armlastig
aarmmeester	armmeester
aarmoude	armoede
troalievreter	armoedzaaier
aarmsgat	armsgat
aarmslag	armslag
aarmzoaleg	armzalig
oren	aron
belslee	arrenslee
artiekels	artikel
aask	as
aaskebak	asbak
askegat	asgat
aaskebult	ashoop
hasjeweine	asjeweine
asjmedei	asjmedai
assern	asseren
assjet	assiette
naaitiek	atelier-meisje
attestoatsie	attestatie
aauw!	au!
augurken	augurk
avans	avance
awailen	aveel
awailzoad	aveelzaad
aweire	avere
onrecht	averechts
affers	avers
oavend	avond
jimt	avondeten
oavendproater	avondprater
oavendreden	avondreden
oavendrood	avondrood
oavendschoul	avondschool
oavendschouljonges	avondschooljongen
oaventuren	avonturen
oaventurijers	avonturier
oaventuraaiers	avonturiers
oaventuur	avontuur
edik	azijn
boantje	baadje
baierd	baaierd
boaivanger	baaivanger
boakster	baakster
boan	baan
boancenten	baancent
bander	baander
banzerdeur	baanderdeur
boanje	baanje
boanvegen	baanvegen
barve	baar
board	baard
boardschrabber	baardschraper
boardwurm	baardworm
boas	baars
boas	baas
boasachteg	baasachtig
boaske	baasje
boaskerel	baaskerel
boat	baat
teuten	babbelen
babbeleguchies	babbelguigjes
fladdergat	babbelkous
potje	baby
potjepazen	babysitten
boaien	baden
begoazie	bagage
pakjedroager	bagagedrager
baggetel	bagatel
baggeln	baggelen
baggelbaktjes	baggelgebak
bagel	bagger
baggeln	baggeren
bagelstevels	baggerlaarzen
laaikbeugel	baggerstok
ulk	bah
bais	bajes
slakkesteker	bajonet
bakbijst	bakbeest
boaken	baken
boaker	baker
boakern	bakeren
bakkeboard	bakkebaard
bakkelaaien	bakkeleien
bakkeln	bakkelen
bakkeran	bakker-an
kaarfhòlt	bakkerskerfstok
bakkerske	bakkersvrouw
broadschol	bakschol
bakseiern	bakseieren
bakwoagen	bakwagen
bakzailen	bakzeilen
belans	balans
baldoadeg	baldadig
baldern	balderen
boalie	balie
baalk	balk
baalzem	balsem
balsemperie	balsem-peru
springzoad	balsemien
balstureg	balsturig
klootzak	balzak
benoan	banaan
bandeg	bandig
bandiezen	bandijzen
baange	bang
bangschieter	bangerik
baangeghaid	bangheid
bangeghaid	bangighied
bangmoakerei	bangmakerij
baankschroef	bankschroef
wtwijzen	bannen
brak	barak
dik-doun-in-toen	barbecuen
baark	bark
barkoenders	barkoender
barmharteg	barmhartig
barnstain	barnsteen
beron	baron
barresjet	barouchette
barbiesies	barrebiesjes
borst	barst
besietum	bas
beskule	bascule
baisrooltje	basserool
bassien	bast
middelsukker	basterdsuiker
badde	bat
batteljon	bataljon
nutten	baten
batse	bats
batterei	batterij
battereisgrafte	batterijgracht
boavioan	baviaan
bezaar	bazar
boazig	bazig
boazinne	bazin
bezuun	bazuin
baal	baäl
bie	be-
bebaauwen	bebouwen
bebrouden	bebroeden
bèrre	bed
bedoagd	bedaagd
bedappern	bedapperen
bergoud	beddegoed
berbuur	beddenbuur
bersdeuren	beddendeuren
witel	beddenlaken
bedsplank	beddenplank
berstok	beddenstok
bèrteek	beddentijk
vuurpaan	beddepan
bedailde	bedeelde
bedesd	bedeesd
bedegend	bedegen
bedelderei	bedelarij
bedailen	bedelen
bedinken	bedenken
bedenkens	bedenking
bedaarf	bederf
haals	bederven
bergoanstied	bedgaanstijd
bergedienen	bedgordijnen
bedainde	bediende
bedainen	bedienen
bediekt	bedijkt
smelig	bedillend
beduzzeln	bedisselen
bèrlichter	bedlichter
bermoaken	bedmaken
bedoulen	bedoelen
bedoulen	bedoeling
bedondern	bedonderen
verlegen	bedorven
bedotjen	bedotten
bedroagen	bedragen
bedraaigen	bedreigen
druwinge	bedreiging
foek	bedremmeld
verneuken	bedriegen
bedrief	bedrijf
bedrieveg	bedrijvig
bedrongen	bedringen
verriefeld	bedrogen
bedrokken	bedrukken
bedrokt	bedrukt
bedstee	bedstede
berstee	bedstee
bersdeùren	bedsteedeur
bersteeschoonen	bedsteeschonen
berstro	bedstro
bergoanstied	bedtijd
beefespe	beefesp
toengras	beemdgras
bein	been
baindermeel	beendermeel
baist	beest
baistachteg	beestachtig
bijstelk	beestelijk
baistje	beestje
bieten	beet
bijtje	beetje
aanpakken	beetpakken
befommeln	befommelen
befommeln	befrommelen
begoan	begaan
begoanboar	begaanbaar
begeerelk	begeerlijk
begeerlek	begeerlijk.
begeeren	begeren
begiftegen	begiftigen
begienken	begijnen
begienebrood	begijnenbrood
begun	begin
begunnen	beginnen
begloepen	begluipen
begonioa	begonia
bekeukeln	begoochelen
doodsonkòsten	begrafeniskosten
udegstmoal	begrafenismaal
begroaven	begraven
begriepen	begrijpen
begrootluk	begrotelijk
begunstegen	begunstigen
behoard	behaard
behoagelk	behagelijk
loenen	behagen
behoalen	behalen
behelstern	behalsteren
behandjen	behappen
behaartegen	behartigen
behaspeln	behaspelen
bedapperen	beheersen
behemmeln	behemelen
berèd	behept
behuiven	behoeven
adinlek	behoorlijk
konzervetief	behoudend
beholdzoam	behoudzaam
behelp	behulp
hulpzoam	behulpzaam
beien	bei
baaide	beide
bijze	beis
bejoard	bejaard
bejeuzeln	bejeuzelen
bek-òf	bek-af
bekarren	bekarnen
betjirmen	bekermen
persès	bekeuring
bekgau	bekgauw
uetschuren	bekijven
bekkesnieden	bekkensnijden
bekkert	bekker
beklarren	bekladden
bejeuzeln	beklagen
benepen	beknepen
beknutern	bekneuteren
beknibbeln	beknibbelen
beknooien	beknoeien
beknokkeln	beknokkelen
bekoft	bekocht
bekookt	bekoken
bekproater	bekprater
bekroepen	bekruipen
kifkederij	bekvechterij
bekweem	bekwaam
belapperd	belabberd
belannen	belanden
pertansie	belang
belastboar	belastbaar
belastern	belasteren
beloazerd	belazerd
belegern	belegeren
beleeren	beleren
behinderen	beletten
belhoamel	belhamel
belaigen	beliegen
blieft	believen
belieden	belijden
bélá	bella
bekulpen	beloeren
lofte	belofte
beloopen	belopen
ontheten	beloven
belustern	beluisteren
bemarken	bemerken
bemizzen	bemesten
bemoudern	bemoederen
bemoudegen	bemoedigen
aalbestel	bemoeial
beredderg	bemoeiziek
bemundern	bemontering
beslaintjen	bemorsen
bei	ben
schâden	benadelen
benoadern	benaderen
benoud	benauwd
binde	bende
benetjen	benetten
benusseln	beneuzelen
bingels	bengel
bongeln	bengelen
baineg	benig
benieden	benijden
benjemin	benjamin
verlet	benodigd
benuimen	benoemen
piontspier	bentspier
vernul	benul
benzeln	benzen
beoordailen	beoordelen
beoddern	beorderen
bepoald	bepaald
bepoalen	bepalen
bepizzen	bepissen
beplaaistern	bepleisteren
beplaaiten	bepleiten
beplougen	beploegen
beproaten	bepraten
bepreeken	bepreken
beprutteln	bepruttelen
beroaden	beraden
beroamen	beramen
overbodich	bereidwillig
berek	bereik
beraaizen	bereizen
bereken	berekenen
bereken	berekening
