Infinitief,1sg,2sg,3sg,Pl,Past-1sg,Past-2sg,Past-3sg,Past-Pl,Part,Vertaling,Transitief
hoalen,hoal,hoalst,hoalt,hoalen,hil,hilst,hil,hillen (hil ⊲ hiel ⊲ hoalde),hoald,halen,ja
hòlden,hòl,hòlst,hòldt,hòlden,hil,hilst,hil,hillen (hil ⊲ hiel),hòlden,houden,ja
huiven,huif,huifst,huift,huiven,huifde,huifdest,huifde,huifden,huifd,hoeven (oud),ja
huvven,huf,hufst,huft,huvven,hufde,hufdest,hufde,hufden,hufd,hoeven (jong),ja
joagen,joag,joagst,joagt,joagen,joagde,joagdest,joagde,joagden,joagd,jagen (op jacht gaan),nee
joagen,joag,jagst,jagt,joagen (jagt ⊲ joagt),joug,jougst,joug,jougen (joug ⊲ joagde),jagd (⊲ joagd),jagen (hard rijden),nee
kaizen,kais,kaist,kaist,kaizen,koos,koost,koos,kozen,kozen,kiezen,ja
kennen,ken,kenst,kent,kennen,kón,kónst,kón,kónden (kón ⊲ kende),kend,kennen (jong),ja
kieken,kiek,kikst,kikt,kieken (kikt ⊲ kiekt),keek,keekst,keek,keken,keken,kijken,nee
kieven,kief,kifst,kift,kieven (kift ⊲ kieft ⊲ kijft),keef,keefst,keef,keven,keven,kijven,ja
kinnen,kin,kinst,kin,kinnen,kón,kónst,kón,kónden,kind,kunnen/kennen (oud),ja
klaiden,klai,kledst,kledt,klaiden (kledt ⊲ klaidt),kledde,kleddest,kledde,kledden (kledde ⊲ klaidde),kled (⊲ klaid),kleden,ja
klimmen,klim,klimst,klimt,klimmen,klóm,klómst,klóm,klómmen,klómmen,klimmen,nee
dringen,dring,dringst,dringt,dringen,dròng,dròngst,dròng,dròngen,dròngen,dringen,nee
drinken,drink,drinkst,drinkt,drinken,drònk,drònkst,drònk,drònken,drònken,drinken,ja
droagen,droag,dragst,dragt,droagen (dragt ⊲ droagt),droug,drougst,droug,drougen,droagen,dragen,ja
droaven,droaf,drafst,draft,droaven (draft ⊲ droaft),droafde,droafdest,droafde,droafden,droafd,draven,nee
druppen,drup,drupst,drupt,druppen,droop,droopst,droop,dropen,dropen,druipen,nee
duren,duur,duurst,duurt,duren (duur ⊲ duurf),duurde,duurdest,duurde,duurden (duurde ⊲ duurfde),duurd (⊲ duurfd),durven,ja
dwingen,dwing,dwingst,dwingt,dwingen,dwòng,dwòngst,dwòng,dwòngen,dwòngen,dwingen,ja
eten,eet,etst,et,eten (et ⊲ eet),at,atst,at,atten,eten,eten,ja
fietsen,fiets,fietsest,fietst,fietsen,fietste,fietstest,fietste,fietsten,fietst,fietsen,nee
fluiten,fluit,fluitst,fluit,fluiten,floot,flootst,floot,floten,floten,fluiten,ja
gaiten,gait,gutst,gut,gaiten (gut ⊲ gait),goot,gootst,goot,goten,goten,gieten,ja
gelden,gèl,gèlst,gèldt,gèlden,gól,gólst,góls,gólden,gólden,gelden,nee
genezen,genees,geneest,geneest,genezen,genas,genast,genas,genazen,genezen,genezen,ja
genieten,geniet,genietst,geniet,genieten,genoot,genootst,genoot,genoten,genoten,genieten,nee
geven,geef,gefst,geft,geven (geft ⊲ geeft),gaf,gafst,gaf,gavven,geven,geven,ja
glieden,glie,glidst,glidt,glieden (glidt ⊲ gliedt),glee,gleest,glee,gleden,gleden,glijden,nee
glimmen,glim,glimst,glimt,glimmen,glóm,glómst,glóm,glómmen,glómmen,glimmen,nee
gloepen,gloep,glópst,glópt,gloepen (glópt ⊲ gloept),gloop,gloopst,gloop,glopen,glopen,gluipen/kwaad kijken,nee
goan,goa,gaaist,gaait,goan (goa ⊲ gaai),ging,gingst,ging,gingen,goan,gaan,nee
griepen,griep,gripst,gript,griepen (gript ⊲ griept),greep,greepst,greep,grepen,grepen,grijpen,ja
groaven,groaf,grafst,graft,groaven (graft ⊲ groaft),grouf,groufst,grouf,grouven,groaven,graven,ja
luden,lu,ludst,ludt,luden (ludt ⊲ luudt),ludde,luddest,ludde,ludden (ludde ⊲ luudde),lud (⊲ luud),luiden,ja
maggen,mag,magst,mag,maggen,móg,mógst,móg,móggen,magd/mócht,houden van,ja
melken,melk,melkst,melkt,melken,mólk,mólkst,mólk,mólken,mólken,melken,ja
mengen,meng,mengst,mengt,mengen,mòng,mòngst,mòng,mòngen,mòngen,mengen,ja
meten,meet,meetst,meet,meten,mat,matst,mat,mat(t)en,meten,meten,ja
mieden,mie,midst,midt,mieden (midt ⊲ miedt),mee,meest,mee,meden,meden,mijden,ja
miegen,mieg,migst,migt,miegen (migt ⊲ miegt),meeg,meegst,meeg,megen,megen,pissen,nee
moaken,moak,moakst,moakt,moaken,mouk,moukst,mouk,mouken (mouk ⊲ moakte),moakt,maken,ja
moalen,moal,moalst,moalt,moalen,moalde,moaldest,moalde,moalden,moalen,malen,ja
mouten (⊲ mòtten),mout,mòst,mout,"mouten (mout ⊲ mòt, mouten ⊲ mòtten)",mós,móst,mós,mózzen,móst,moeten,ja
nemen,neem,nemst,nemt,nemen (nemt ⊲ neemt),nam,namst,nam,nammen,nomen,nemen,ja
ontbijten,ontbijt,ontbijtst,ontbijt,ontbijten,ontbeet,ontbeetst,ontbeet,ontbeten,ontbeten,ontbijten,nee
ontginnen,ontgin,ontginst,ontgint,ontginnen,ontgón,ontgónst,ontgón,ontgónnen,ontgónnen,ontginnen,ja
ontloeken,ontloek,ontlókst,ontlókt,ontloeken (ontlókt ⊲ ontloekt),ontlook,ontlookst,ontlook,ontloken,ontloken,ontluiken,nee
ploagen,ploag,plagst,plagt,ploagen (plagt ⊲ ploagt),ploug,plougst,ploug,plougen (ploug ⊲ ploagde),ploagd,plagen,ja
pluzen,pluus,pluust,pluust,pluzen,ploos,ploost,ploos,plozen,plozen,pluizen,ja
priezen,pries,prist,prist,priezen (prist ⊲ priest),prees,preest,prees,prezen,prezen,prijzen,ja
proaten,proat,pratst,prat,proaten (prat ⊲ proat),prout,proutst,prout,prouten (prout ⊲ proatte),proat,praten,nee
raaizen,raais,raaist,raaist,raaizen,raaisde,raaisdest,raaisde,raaisden,raaisd,reizen,nee
reuden,reu,rudst,rudt,reuden (rudt ⊲ reudt),reudde,reuddest,reudde,reudden,reud,rooien,ja
klinken,klink,klinkst,klinkt,klinken,klònk,klònkst,klònk,klònken,klònken,klinken,ja
kloagen,kloag,klagst,klagt,kloagen (klagt ⊲ kloagt),kloug,klougst,kloug,klougen (kloug ⊲ kloagde),kloagd,klagen,nee
kloeven,kloef,klófst,klóft,kloeven,kloof,kloofst,kloof,kloven,kloven,kluiven,ja
kniepen,kniep,knipst,knipt,kniepen (knipt ⊲ kniept),kneep,kneepst,kneep,knepen,knepen,knijpen,ja
kniezen,knies,knist,knist,kniezen (knist ⊲ kniest),knees,kneest,knees,knezen,knezen,gniffelen/grijnzen,nee
kómmen,kóm,kómst,kómt,kómmen,kwam,kwamst,kwam,kwammen,kómmen,komen,nee
kopen,koop,kòchst,kòcht,kopen (kòcht ⊲ koopt),kòchde,kòchdest,kòchde,kòchten (kòchde ⊲ kòcht),kòcht,kopen,ja
kriegen,krieg,krigst,krigt,kriegen (krigt ⊲ kriegt),kreeg,kreegst,kreeg,kregen,kregen,krijgen/pakken,ja
krieten,kriet,kritst,krit,krieten (krit ⊲ kriet),kreet,kreetst,kreet,kreten,kreten,krijten,nee
krimpen,krimp,krimpst,krimpt,krimpen,krómp,krómpst,krómp,krómpen,krómpen,krimpen,ja
kroepen,kroep,krópst,krópt,kroepen (krópt ⊲ kroept),kroop,kroopst,kroop,kropen,kropen,kruipen,nee
laaiden,laai,laaist,laaidt,laaiden,laaidde,laaiddest,laaidde,laaidden,laaid,leiden,ja
laggen,lag,lagst,lagt,laggen,lagde,lagdest,lagde,lagden,lagd,lachen,nee
laigen,laig,lugst,lugt,laigen (lugt ⊲ laigt),loog,loogst,loog,logen,logen,liegen,nee
lezen,lees,leest,leest,lezen,las,last,las,lazen,lezen,lezen,ja
lieden,lie,lidst,lidt,lieden (lidt ⊲ liedt),lee,leest,lee,leden,leden,pijn lijden/toestaan,nee
lieken,liek,liekst,liekt,lieken,leek,leekst,leek,leken,leken,lijken,nee
liggen,lig,ligst,ligt,liggen,laag,laagst,laag,lag(g)en,legen,liggen,nee
loaden,loa,ladst,ladt,loaden (ladt ⊲ loadt),loadde,loaddest,loadde,loadden,loaden,laden,ja
loaten,loat,letst,let,loaten (let ⊲ loat),lait,laitst,lait,laiten,loaten,laten,ja
lopen,loop,lòpst,lòpt,lopen (lòpt ⊲ loopt),laip,laipst,laip,laipen,lopen,lopen/stromen,nee
schrieden,schrie,schridst,schridt,schrieden (schridt ⊲ schriedt),schree,schreest,schree,schreden,schreden,schrijden,nee
schrieven,schrief,schrifst,schrift,schrieven (schrift ⊲ schrieft),schreef,schreefst,schreef,schreven,schreven,schrijven,ja
schrikken,schrik,schrikst,schrikt,schrikken,schrók,schrókst,schrók,schrókken,schrókken,schrikken,nee
sliepen,sliep,slipst,slipt,sliepen (slipt ⊲ sliept),sleep,sleepst,sleep,slepen,slepen,slijpen,ja
slieten,sliet,slitst,slit,slieten (slit ⊲ sliet),sleet,sleetst,sleet,sleten,sleten,slijten,ja
slinken,slink,slinkst,slinkt,slinken,slònk,slònkst,slònk,slònken,slònken,slinken,nee
sloagen,sloag,slagst,slagt,sloagen (slagt ⊲ sloagt),sloug,slougst,sloug,slougen,sloagen,slaan,ja
sloagen,sloag,sloagst,sloagt,sloagen,sloagde,sloagdest,sloagde,sloagden,sloagd,slagen,nee
sloapen,sloap,slepst,slept,sloapen (slept ⊲ sloapt),slaip,slaipst,slaip,slaipen,sloapen,slapen,nee
sloeken,sloek,slókst,slókt,sloeken (slókt ⊲ sloekt),slook,slookst,slook,sloken,sloken,slikken,ja
sloepen,sloep,slópst,slópt,sloepen (slópt ⊲ sloept),sloop,sloopst,sloop,slopen,slopen,sluipen,nee
sloeten,sloet,slutst,slut,sloeten (slut ⊲ sloet),sloot,slootst,sloot,sloten,sloten,sluiten,ja
smelten,smelt,smeltst,smelt,smelten,smólt,smóltst,smólt,smólten,smólten,smelten,ja
smieten,smiet,smitst,smit,smieten (smit ⊲ smiet),smeet,smeetst,smeet,smeten,smeten,smijten,ja
smoaken,smoak,smoakst,smoakt,smoaken,smouk,smoukst,smouk,smouken (smouk ⊲ smoakte),smoakt,smaken,nee
snieden,snie,snidst,snidt,snieden (snidt ⊲ sniedt),snee,sneest,snee,sneden,sneden,snijden,ja
snoeven,snoef,snófst,snóft,snoeven (snóft ⊲ snoeft),snoof,snoofst,snoof,snoeven,snoven,snuiven,ja
snuten,snuut,snutst,snut,snuten (snut ⊲ snuut),snoot,snootst,snoot,snoten,snoten,snuiten,ja
spannen,span,spanst,spant,spannen,spande,spandest,spande,spanden,spand (⊲ spannen),spannen,ja
spinnen,spin,spinst,spint,spinnen,spón,spónst,spón,spónnen,spónnen,spinnen,ja
rieden,rie,ridst,ridt,rieden (ridt ⊲ riedt),ree,reest,ree,reden,reden,rijden,ja
riegen,rieg,rigst,rigs,riegen (rigt ⊲ riegt),reeg,reegst,reeg,regen,regen,rijgen,ja
rieten,riet,ritst,rit,rieten (rit ⊲ riet),reet,reetst,reet,reten,reten,trekken,ja
rieven,rief,rifst,rift,rieven (rift ⊲ rieft),reef,reefst,reef,reven,reven,raspen/harken,ja
riezen,ries,rist,rist,riezen (rist ⊲ riest),rees,reest,rees,rezen,rezen,rijzen,nee
roaden,roa,radst,radt,roaden (radt ⊲ roadt),roadde,roaddest,roadde,roadden,roaden,raden,ja
roaken,roak,rakst,rakt,roaken (rakt ⊲ roakt),rouk,roukst,rouk,rouken (rouk ⊲ roakte),roakt,raken,ja
roeken,roek,rókst,rókt,roeken (rókt ⊲ roekt),rook,rookst,rook,roken,roken,ruiken,ja
roupen,roup,ròpst,ròpt,roupen (ròpt ⊲ roupt),raip,raipst,raip,raipen,roupen,roepen,ja
ruden,ru,rudst,rudt,ruden (rudt ⊲ ruudt),rudde,ruddest,rudde,rudden (rudde ⊲ ruudde),rud (⊲ ruud),ruien/woelen,ja
schaaiden,schaai,schaaist,schaaidt,schaaiden,schaaidde,schaaiddest,schaaidde,schaaidden,schaaiden,scheiden,ja
schaiten,schait,schutst,schut,schaiten (schut ⊲ schait),schoot,schootst,schoot,schoten,schoten,schieten,ja
schelden,schèl,schèlst,schèldt,schèlden,schól,schólst,schól,schólden,schólden,schelden,ja
schenden,schen,schenst,schendt,schenden,schón,schónst,schón,schónden,schónden,schenden,ja
schenken,schenk,schenkst,schenkt,schenken,schònk,schònkst,schònk,schònken,schònken,schenken,ja
scheppen,schep,schepst,schept,scheppen,schaip,schaipst,schaip,schaipen,schoapen,scheppen (creëren),ja
scheren,scheer,scheerst,scheert,scheren,schoor,schoorst,schoor,schoren,schoren,scheren,ja
schienen,schien,schienst,schient,schienen,scheen,scheenst,scheen,schenen,schenen,schijnen,nee
schieten,schiet,schitst,schit,schieten (schit ⊲ schiet),scheet,scheetst,scheet,scheten,scheten,schijten,nee
schoelen,schoel,schoelst,schoelt,schoelen,school,schoolst,school,scholen,scholen,schuilen,nee
schoeven,schoef,schófst,schóft,schoeven (schóft ⊲ schoeft),schoof,schoofst,schoof,schoven,schoven,schuiven,ja
vechten,vecht,vechtst,vecht,vechten,vócht,vóchtst,vócht,vóchten,vóchten,vechten,ja
verbannen,verban,verbanst,verbant,verbannen,verbande,verbandest,verbande,verbanden,verbannen,verbannen,ja
verbraiden,verbrai,verbredst,verbredt,verbraiden (verbredt ⊲ verbraidt),verbredde,verbreddest,verbredde,verbredden (verbredde ⊲ verbraidde),verbred (⊲ verbraid),verbreden,ja
verdraiten,verdrait,verdrutst,verdrut,verdraiten (verdrut ⊲ verdrait),verdrutte,verdruttest,verdrutte,verdrutten (verdrutte ⊲ verdraitte),verdroten,verdrieten,ja
verdwienen,verdwien,verdwienst,verdwient,verdwienen,verdween,verdweenst,verdween,verdwenen,verdwenen,verdwijnen,nee
vergeten,vergeet,vergetst,verget,vergeten (verget ⊲ vergeet),vergat,vergatst,vergat,verga(t)ten,vergeten,vergeten,ja
verlaizen,verlais,verlust,verlust,verlaizen (verlust ⊲ verlaist),verloor,verloorst,verloor,verloren,verloren,verliezen,ja
verslinden,verslin,verslinst,verslindt,verslinden,verslón,verslónst,verslón,verslónden,verslónden,verslinden,ja
verwieten,verwiet,verwitst,verwit,verwieten (verwit ⊲ verwiet),verweet,verweetst,verweet,verweten,verweten,verwijten,ja
verzwienden,verzwien,verzwienst,verzwiendt,verzwienen,verzwón,verzwónst,verzwón,verzwónden,verzwónden,verdwijnen,nee
vienden,vien,vienst,viendt,vienden,vón,vónst,vón,vónden,vónden,vinden,ja
vlaigen,vlaig,vlugst,vlugt,vlaigen (vlugt ⊲ vlaigt),vloog,vloogst,vloog,vlogen,vlogen,vliegen,nee
vlechten,vlecht,vlechtst,vlecht,vlechten,vlócht,vlóchtst,vlócht,vlóchten,vlóchten,vlechten,ja
vluiken,vluik,vlukst,vlukt,vluiken (vlukt ⊲ vluikt),vlukte,vluktest,vlukte,vlukten (vlukte ⊲ vluikte),vlukt (⊲ vluikt),vloeken,nee
voaren,voar,voarst,voart,voaren,voarde,voardest,voarde,voarden,voaren,varen/rijden,nee
vòllen,vòl,vòlst,vòlt,vòllen,vòlde,vòldest,vòlde,vòlden,vòllen,vouwen,ja
vouden,vou,vudst,vudt,vouden (vudt ⊲ voudt),vudde,vuddest,vudde,vudden (vudde ⊲ voudde),vud,voeden,ja
vraizen,vrais,vrust,vrust,vraizen (vrust ⊲ vraist),vroor,vroorst,vroor,vroren,vroren (be)vriezen,vriezen,ja
vreken,vreek,vreekst,vrekt,vreken (vrekt ⊲ vreekt),vreekte,vreektest,vreekte,vreekten,vroken,wreken,ja
splieten,spliet,splitst,split,splieten (split ⊲ spliet),spleet,spleetst,spleet,spleten,spleten,splijten,ja
spreken,spreek,sprekst,sprekt,spreken (sprekt ⊲ spreekt),sprak,sprakst,sprak,sprak(k)en,sproken,spreken,ja
springen,spring,springst,springt,springen,spròng,spròngst,spròng,spròngen,spròngen,springen,nee
spuiten,spuit,spuitst,spuit,spuiten,spoot,spootst,spoot,spoten,spoten,spuiten,ja
staarven,staarf,staarfst,staarft,staarven,sturf,sturfst,sturf,sturven,sturven,sterven,nee
steken,steek,stekst,stekt,steken (stekt ⊲ steekt),stak,stakst,stak,sta(k)ken (stak ⊳ stook),stoken,steken,ja
stelen,steel,steelst,steelt,stelen,stool,stoolst,stool,stolen (stool ⊲ stal),stolen,stelen,ja
steuten,steut,stötst,stöt,steuten (stöt ⊲ steut),stötte,stöttest,stötte,stötten,stöt (⊲ steut),stoten,ja
stiegen,stieg,stigst,stigt,stiegen (stigt ⊲ stiegt),steeg,steegst,steeg,stegen,stegen,stijgen,nee
stieven,stief,stifst,stift,stieven (stift ⊲ stieft),steef,steefst,steef,steven,steven,stijven,ja
stinken,stink,stinkst,stinkt,stinken,stònk,stònkst,stònk,stònken,stònken,stinken,nee
stoan,stoa,staaist,staait,stoan (stoa ⊲ staai),stón,stónst,stón,stónden,stoan,staan,nee
stoeven,stoef,stófst,stóft,stoeven (stóft ⊲ stoeft),stoof,stoofst,stoof,stoven,stoven,stuiven,nee
strieden,strie,stridst,stridt,strieden (stridt ⊲ striedt),stree,streest,stree,streden,streden,strijden,nee
strieken,striek,strikst,strikt,"strieken (strikt ⊲ striekt, vooral in de betekenis ‘met strijkijzer werken’)",streek,streekst,streek,streken,streken,strijken,ja
treden,tree,tredst,tredt,treden (tredt ⊲ treedt),trad,tradst,trad,trad(d)en,treden,treden,ja
trekken,trek,trekst,trekt,trekken,trók,trókst,trók,trókken,trókken,trekken,ja
trevven,tref,trefst,treft,trevven,tróf,trófst,tróf,tróvven,tróvven,treffen,ja
valen,vaal,vaalst,vaalt,valen,vil,vilst,vil,villen (vil ⊲ viel),valen,vallen,nee
vangen,vang,vangst,vangt,vangen,vòng,vòngst,vòng,vòngen (vòng ⊲ ving),vòngen (⊲ vangen),vangen,ja
woagen,woag,wagst,wagt,woagen (wagt ⊲ woagt),woug,wougst,woug,wougen (woug ⊲ woagde),woagd,wagen,ja
wòrden,wòr,wòrst,wòrdt,wòrden,wer,werst,wer,werden,wòrden,worden,ja
zain,zai,zigst,zigt,zain (zigt ⊲ zait),zaag,zaagst,zaag,zag(g)en,zain,zien,ja
zeggen,zeg,zegst,zegt,zeggen,zee,zeest,zee,zeden,zegd,zeggen,ja
zellen,zel,zelst,zel,zellen (zel ⊲ zal),zól,zólst,zól,zóllen,zeld,zullen,ja
ziegen,zieg,ziegst,ziegt,ziegen,zeeg,zeegst,zeeg,zegen,zegen,tochten,nee
zingen,zing,zingst,zingt,zingen,zòng,zòngst,zòng,zòngen,zòngen,zingen,ja
zinken,zink,zinkst,zinkt,zinken,zònk,zònkst,zònk,zònken,zònken,zinken,nee
zinnen,zin,zinst,zint,zinnen,zón,zónst,zón,zónnen,zónnen,zinnen,nee
zitten,zit,zitst,zit,zitten,zat,zatst,zat,zatten,zeten,zitten,nee
zoegen,zoeg,zógst,zógt,zoegen (zógt ⊲ zoegt),zoog,zoogst,zoog,zogen,zogen,zuigen/zeuren,ja
zoepen,zoep,zópst,zópt,zoepen (zópt ⊲ zoept),zoop,zoopst,zoop,zopen,zopen,zuipen,ja
zuiken,zuik,zöchst,zöcht,zuiken (zöcht ⊲ zuikt),zöcht,zòchst,zòcht,zòchten,zòcht/zöcht,zoeken,ja
zwaarven,zwaarf,zwaarfst,zwaarft,zwaarven,zwurf,zwurfst,zwurf,zwurven (zwurf ⊲ zwaarfde/zwierf),zwurven,zwerven,nee
zwaiten,zwait,zwutst/zwitst,zwut/zwit,zwaiten (zwut/zwit ⊲ zwait),zwutte/zwitte,zwuttest/zwittest,zwutte/zwitte,zwutten/zwitten (zwutte/zwitte ⊲ zwaitte),zwut/zwit,zweten,nee
zwellen,zwèl,zwèlst,zwèlt,zwèllen,zwól,zwólst,zwól,zwóllen,zwóllen,zwellen,nee
zwemmen,zwem,zwemst,zwemt,zwemmen,zwóm,zwómst,zwóm,zwómmen,zwómmen,zwemmen,nee
zweren,zweer,zweerst,zweert,zweren,zwoer,zwoerst,zwoer,zwoeren,zworen,zweren (eed afleggen),ja
zweren,zweer,zweerst,zweert,zweren,zwoor,zwoorst,zwoor,zworen (zwoor ⊲ zweerde),zworen,zweren (etteren),nee
zwiegen,zwieg,zwigst,zwigt,zwiegen (zwigt ⊲ zwiegt),zweeg,zweegst,zweeg,zwegen,zwegen,zwijgen,nee
vreten,vreet,vretst,vret,vreten (vret ⊲ vreet),vrat,vratst,vrat,vrat(t)en,vreten,vreten,ja
vrieven,vrief,vrifst,vrift,vrieven (vrift ⊲ vrieft),vreef,vreefst,vreef,vreven,vreven,wrijven,ja
vrijen,vrij,vrijst,vrijt,vrijen,vree,vreest,vree,vreeën,vreeën,vrijen,nee
vringen,vring,vringst,vringt,vringen,vròng,vròngst,vròng,vròngen,vròngen,wringen,ja
vroagen,vroag,vragst,vragt,vroagen (vragt ⊲ vroagt),vroug,vrougst,vroug,vrougen,vroagd,vragen,ja
vrouten,vrout,vrutst,vrut,vrouten (vrut ⊲ vrout),vrutte,vruttest,vrutte,vrutten (vrutte ⊲ vroutte),vrut (⊲ vrout),wroeten,nee
waaien,waai,waaist,waait,waaien,waaide,waaidest,waaide,waaiden,waaid,waaien,nee
waarpen,waarp,waarpst,waarpt,waarpen,wierp,wierpst,wierp,wierpen,wórpen,werpen,ja
waarven,waarf,waarfst,waarft,waarven,waarfde,waarfdest,waarfde,waarfden,waarfd,werven,ja
waiden,wai,wudst,wudt,waiden (wudt ⊲ waidt),waidde,waiddest,waidde,waidden,wud (⊲ waid),wieden,ja
waiten,wait,waist,wait,waiten,wis,wist,wis,wizzen,waiten,weten,ja
wassen,was,wast,wast,wassen,wós,wóst,wós,wóssen (wós ⊲ waste),wóssen (⊲ wassen),wassen (reinigen),ja
wegen,weeg,weegst,weegt,wegen,woog,woogst,woog,wogen,wogen,wegen,ja
weven,weef,weefst,weeft,weven,weefde,weefdest,weefde,weefden,weven,weven,ja
wezen,bin,bist,is,binnen,was,wast,was,waren,wèst,wezen/zijn,nee
