Training Steps,train_bleu_nld_Latn_to_gos_Latn_src_to_tgt,train_bleu_gos_Latn_to_nld_Latn_tgt_to_src,train_chrf_nld_Latn_to_gos_Latn_src_to_tgt,train_chrf_gos_Latn_to_nld_Latn_tgt_to_src,validate_bleu_nld_Latn_to_gos_Latn_src_to_tgt,validate_bleu_gos_Latn_to_nld_Latn_tgt_to_src,validate_chrf_nld_Latn_to_gos_Latn_src_to_tgt,validate_chrf_gos_Latn_to_nld_Latn_tgt_to_src
1050,62.359536636424245,46.235997592399926,81.44750872716646,64.48336076896494,54.69100539128045,42.73816942781473,75.36998625941187,62.54771049200307
1100,63.59504135073374,45.82231456707124,81.92236163650412,64.05396165371768,53.27755875180212,42.27031173184058,74.58443559574496,61.97439567119418
1150,66.06848615668903,43.81419056687463,82.38833575792125,62.20957621443573,57.436157892299846,41.18861166683734,75.93965611848445,61.413307792592995
1200,66.00267629624332,47.07674857975309,82.92668154150434,64.7638906358868,54.658250521900065,43.38989631138812,75.20714523785355,63.11578214396704
1250,65.33280564620115,47.861163663626215,83.35420556844598,65.3916863333993,56.37385262458274,43.07359140534562,75.23799398257994,62.81168900951302
1300,64.4422096136754,48.57078662507641,83.04465072283736,65.54463486802582,57.35546730596545,43.17925641856351,76.15481517142022,62.532305979160974
1350,67.12602131102555,47.49900311847123,83.82668911512717,65.10677498146742,58.40265658826894,43.968880960690285,77.39215767498337,62.793233313151866
1400,62.14109123565342,48.555772669012654,80.88884840063277,66.02701598720547,52.37335153377284,42.97174853879473,74.52298061508998,62.355912990780446
1450,65.86666678725422,48.15226381276074,82.62942493631306,65.562419299756,58.25403048882653,43.9622538533038,77.38343584233975,63.09226421198162
1500,68.90155825264453,49.22202885891786,85.0744945118192,66.25700647460629,57.93588011150907,44.9146046326912,77.78691051542098,63.40102958854711
1550,69.32604131546867,48.828568556816215,85.45870531350653,65.9395425045331,59.08880557600592,44.2248144767042,78.12112490036175,63.141177767947454
1600,70.37488576567473,48.65256578034681,85.70278877130872,66.26069001177606,59.62373567791858,44.28587951888943,78.33695817596417,63.30633415203755
1650,65.94915666767456,48.80025070335262,84.2341454966991,66.36625388893734,53.909349009570484,44.89120578573767,76.84960077852129,63.83238266789304
1700,69.53937996773175,49.16390313825522,85.2362959175243,66.60005254662828,60.51818296788068,45.155931423027056,78.87059671242538,63.514059222326814
1750,67.42806630728718,47.46844047103492,84.42446600165331,65.75050260190314,55.37640679098952,43.428721300217646,77.6232402085446,62.799174138555124
1800,72.01502923141108,48.94156360545476,85.77365499980871,66.71379475785952,59.865407163104265,46.47298263516447,79.34254184395593,65.13294388766559
1850,69.28503042478339,47.022598682595564,83.97843708100551,65.77222340325393,60.09841104544731,44.702141941940134,79.25857864473177,63.49248775512905
1900,70.36886265317115,48.910394137076,85.56049304610892,66.5999766403603,58.75619996167614,45.887174499139725,79.21126529736691,64.54997823714224
1950,71.72616684111244,49.47983287373498,86.19875666248001,66.73531250523227,60.264820543870336,44.83202594841836,79.80476479365932,64.11394437764223
2000,69.72502291940093,49.77971961521284,84.85243184451159,66.88681116202383,58.24559022190011,45.0069428910726,77.76986480591901,64.317630023499
2050,71.78817845799603,49.218904257357444,86.66365701672464,66.60223114035823,59.74146589147149,46.66737159843188,78.23476090663326,65.37190731962764
2100,69.39134097207365,50.03498900067144,84.73442110615863,66.93215814946119,59.51598779304974,45.785838168496376,79.1119861568714,64.61170182218298
2150,71.56391342578407,48.99089288023863,86.06589218250791,66.46298904596145,60.1027663823244,44.42750975764287,79.33706617582182,64.13449027584063
2200,73.60201414092278,50.09247611585885,86.93089361623598,66.96969885011626,60.39909643154013,47.140767175036096,78.00524058629864,65.93319854092623
2250,71.6962500242225,50.08714110412882,85.83610740001805,67.44754674028201,59.83004243264046,48.00803094044696,78.65152720161602,66.1164460622141
2300,73.56271638057747,50.64677238185749,87.0327779313709,67.93446979044299,59.40456437351739,47.10023887626268,78.44926973654681,65.17080716058487
2350,74.32243310001017,48.569157696387606,86.43009047464261,67.14529307692328,60.10976329113185,44.53294210956347,78.58656039591254,64.72680773880357
2400,73.70896619978346,50.33810470884642,86.95167325744806,67.80422646930553,59.81110630969516,45.47545808636022,78.78528570501817,64.65128068086769
2450,75.27265749808815,50.203210359910365,87.38976217362882,67.31811164307054,60.135799138490725,47.21517687896017,79.44411679610329,65.67237602650144
2500,76.69256606605317,48.60705147530325,88.90728619509744,66.36725686083541,60.72841951374696,45.901106424195504,79.6819848291505,65.31509697378544
2550,73.39881655408847,49.972557480716794,87.16333021804029,67.11913704152586,60.80252541043077,46.975293263947,79.41799667819775,65.2338057494938
2600,74.1384521365697,50.94826663483201,87.67754213180982,68.26365255962075,57.833766148181596,45.9510854760749,78.74178678648876,64.95937283945517
2650,74.5165415529975,49.17539619150265,87.7820495173583,66.2460222303599,61.88267771084059,44.560369659436795,80.07271512406531,63.76776650908783
2700,73.94767958931764,49.955845638459266,88.08578667597591,67.36264227371446,61.297257468020604,45.94190754304846,79.61629633306654,64.90885278152021
2750,74.00930763503192,49.385094556363505,87.73245418162811,66.50994680451048,60.93518259426965,43.69890843209628,79.42038293348021,63.10150686833394
2800,75.87883204861784,51.3299117432837,88.75731477079239,68.449305253494,61.35146231126406,46.93715298975346,80.2747089479592,65.74760893708545
