Nederlands;Gronings
Reker doodslaan is? Hem... Doodslaan met een deegroller uit jouw keuken. Ach, zo meteen op. Kijk. Wel heeft men gezegd dat het uit mijn keuken komt. Van de;Reker doodsloagen is?” “Hm...” “Doodsloagen mit n deegroller oet dien keuken.” ”Ach, sodemieter op.” “Kiek.” “Wel het zegd dat e oet mien keuken komt.” ”Van de
"Lijkt me goed, zei ik, toen ik uit eten ging, vooral op een ander gezicht, waar gaan we naartoe? ""Dat haal ik nog even voor mij,"" zei hij, ""dat is een verrassing.""";“Liekt mie goud,” zee ik, “k hol van oet eten goan, veuraal op n aander zien knip, woar goan we hìn den?” “Dat hol ik nog even veur mie,” zee t olske, “dat is n verrazzen.” t
Hongersnood dreigt voor stadsduiven: Het wordt een massale slachting (Sikkom.nl 01-04-2020) https://www.sikkom.nl/hongersnood-dreigt-voor-stadsduiven-het-wordt-een massale slachting/;Hongersnood dreigt voor stadsduiven: ‘Het wordt een massaslachting’ (Sikkom.nl 01-04-2020) https://www.sikkom.nl/hongersnood-dreigt-voor-stadsduiven-het-wordt-eenmassaslachting/
Kerwaiken opdenken: naar de brievenbus, of glazen bak, en onderwerpen verzamelen voor bij het koffie drinken (voetbal, auto's, lekkere mokkels, vakantiebestemmingen, schone bakken, tv-serie).;Kerwaaikes opbedenken: noar braivebus, of glasbak, en gespreksonderwaarpen verzoameln veur bie t kovviedrinken (voetbalen, auto’s, lekkere mokkels, vekaanziebestemmens, schune bakken, tv-series).
Hoeveel broertjes en zusjes heb je die wel? Ga jij iets aan, zei hij meer in zichzelf dan tegen mij en dan vreemd: En nu aan de andere kant, doe, want ik moet het thuis aan.;Houveul bruiertjes en zuskes hest doe den wel ?” “Gaait die wat aan”, zee e meer in zokzulf as tegen mie en dou vranterg: “En nou aan d’kaante, doe, want ik mout neudeg op hoes aan.” t
Ook ook, zuchtte mevrouw, wat is de natuur toch mooi, vind je het ook niet? Je hebt gelijk, zei ik, verbaasd toen ik de twee luidruchtige meisjes zag, die net voorbij ons waren fietsen.;“Och och”, zuchtte vraauw,...”wat is de noatuur toch mooi, vindst ook nait?” “Geliek hest”, zee ik, onnerwiel ik twij luudruchtege wichter noakeek, dij ons net veurbie fietst waren.
Op een gegeven moment zijn er weer een zee mensen, die met een zekere blik op de borst de hele tijd hakken dreven als een haan die de karwaai had gedaan, terwijl soms een ander voor hun kastanjes uit het vuur had geholden.;Keuneginnedag binnen der weer n zooi lu, dat mit n ‘eretaiken’ op bòrst aalweg hakjedraaien as n hoane dij kerwaai doan het, terwiel smangs n aander veur heur kestanjes oet t vuur hoald het.
winterkoninkje - wijdeldoemke, toenkroepje zanglijster - zanglijster merel - liester, zwarte zanglijster huiszwalw - s(z)walkke, hoesswalkke ekster - okster, verkeerssplitsing torenkraai - hanska;winterkoninkje - keudeldoemke, toenkroepertje zanglijster - zangliester merel - liester, swaarde liester huiszwaluw - s(z)waalfke, hoesswaalfke ekster - okster, verkeersplietsie torenkraai - hanska
Hinderk met een diepe adem: Joel mijn vrouw, zulf dicht gedraaid vanmorgen en dat moet je ook wel weten, want je had ja geen water meer met tanden poetsen. O ja, daar waar ook, zei;Hinderk mit n daipe zucht: “Joawel mien wicht, zulven dicht draaid vanmörn en dat moust ook nog wel waiten, want haarst ja gain wotter meer mit tandenpoetsen.” “O joa, da's woar ook”, zee
De brief van Tony werd gelezen, - of er geen droge sneeuwsterren bij het raam lang vlogen, maar kleine tussenruimtes van wit papier maan zwarte ledders, wit, wit en zonnig één, zonnig één en wit.;Tonja’s braif te lezen, - of er gain dreuge snijsteerntjes bie t roam laangs vlogen, mor lutje tussenroemtes van wit pepier maank swaarde ledderkes, wit, wit en zunner èn, zunner èn en wit.
"Voor het huis had je een regentaas, waar je met een regentaasje aan een keten water moest ophalen; naast het bovenste stond een stookhut, begroeid met klop, een kookpot erin, die met schinzen werd gestoken.";"Veur t hoes haarve n regenbak, woar je mit n regenbaksemmertje aan n ket wotter ophoalen mozzen; noast bovenend ston n stookhut, begruid mit klimop, n kookpot der ien, dij mit schinzen stookt werd."
"Na een goede maand zei hij tegen haar: ""Christa, dit kan niet langer zo, je salaris is niet goed!"" ""Oh, schrik het meisje, ben ik te duur?"" Ze lachte de oude: ""Nee, te goedkoop!""";Noa n goie moand zee e tegen heur: ,Christy, dit kìn nait laanger zo, dien loon is nait goud!’ ‘Oh’, schrok t wichtje, ‘ben k te duur?’ d’Olle lachte: ‘Nee, te goudkoop!
als hij 2 wélna1 niet één keer naar de wereld was gegaan, één precies zwoar wagen meende, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de wereld, één keer naar de;kwesyo2 wlhnā1 ne oinom4 ghe gwrum4 woghom4 weghontm4, ain juust zwoar woagen mennend, oinom4kwe megam4 bhorom4, oinom4kwe ain-ook groot last, ghmenm4 ōku bherontm4.
"""Hoe pleverkoek?"" smeekte hij, ""pas maar op mijn jongen, dammee pas je hoofd niet meer tussen je oren met je friet.""""Als ik je opnieuw moet bellen om dat aan te horen, hang ik weer op, zei ik.";“Hou pleverkouk?”, bölkte hai, “pas mor op mien jong, dammee paast dien kop nait meer tussen dien oren mit dien gevreet.” “As k die weerom bellen mos om dat aan te heuren, hang ik weer op”, zee ik.
"Berrus en ik hebben het wel heel moeilijk met zeven, want ik heb ze al in geen vijftien jaar meer gezien. ""Hoe komt dat dan,"" vroeg ik, ""je met het vliegtuig zo aan de andere kant van de wereld bent.""";Berrus en ik t wel hail stoer mit sjevveur, want ik heb heur al in gain vieftien joar meer zain.” “Hou komt dat den,” vruig ik, “je binnen mit t vlaigtuug ja zo aan de aandere kaant van de wereld.
"Poëzieprijs 2009 met het gedicht "" Achter op de fiets "" 4 gouden veren en 5 zilveren veren en 34 eervolle vermeldingen (zie mijn blad op http://www.gedichtsite.nl/ bij 'awards'.) cobytjeert@live.nl";Poëzieprijs 2009 mit t gedicht 'Achter op de fiets' 4 golden veren en 5 zulvern veren en 34 eervolle vermeldens (zai mien bladzie op http://www.gedichtensite.nl/ bie 'awards'.) cobytjeert@live.nl
Je kon bij de ene trap, twee meter breed, met een bocht van veertig graden omhoog en bij de andere trap, die in de eerste hal bij de derde deur uitkwam, weer naar beneden.;Konst bevubbeld bie d’aine trappe, twij meter braid, mit n bochte van vievenvatteg groaden omhoog en bie d’aandere trappe, dij in d’veurste hal bie d’veurdeure oetkwam, weer noar beneden.
Het werd allemaal onbegrijpelijker, totdat hij met de bekendheid kwam: Die rotjongens hoalen die het bloed onder de nagels gooiden. Rotjongens? Ja, ik moest al snel als kind naar een school in;t Wuir aal onbegriepelker, tot e mit d’bekentenis kwam: ‘Dij rötjonken hoalen die t bloud onder d’noagels vot.’ ‘Rötjonken?’ ‘Joa, k mos al snel as kwekeling noar n school in
Daarin staan naast de Groninger streken onder meer ook verschillen uit Oost-Vrijland, West-Vrijland (Noord-Holland), Gelderland, Overiessel, Limburg, Vlaanderen en in Frankrijk en Zwitserland.;Doarin stoan noast de Grunneger laidjes o.a. ook verskes uut Oost-Vraisland, West-Vraisland (Noord Holland), Gelderland, Overiessel, Limbörg, Vloandern en zulfs in Frankriek en Zwitserland.
"Ook hadden ze de wagen vol munitie in de diep geflikkerd, de munitie die later bij het uitbakgen van de diep heel voorzichtig uit bakjes van baggermolen werd gehuld en door de ""mijnreinigingsdienst"" werd opgehaald.";"Ook haren ze woagens vol munitie in daip flikkerd, munitie dij loater bie t oetbaggern van daip hail veurzichteg oet bakjes van baggermeulen hoald wer en deur de “mijnopruimingsdienst"" ophoald wer."
En als de verre hemel bestormd is en wij roept, dekt en draagt weer de delen komen meegummels bij wordt uiteindelijk bij het noorden de omvang van het bestond genadig gevonden in een stralend geel bloemke;En as wiede hemel bestörmd is en wie riept, deukt en droagen weer dele kommen – mieghummels binve – wordt op t lest – bie t noadern – grootshaid van t bestoan genoadeg vongen in n slicht geel bloumke
"""Asbest meneer?"" vraagt de psycholoog aan mij, ""hebben jullie dat plakje asbest bij de psycholoog?"" ""Asbest?"" vraag ik verbaasd, ""denken jullie dat ik asbest bij de psycholoog heb.""";Asbest “Meneer?”, vragt de voelnisman aan mie, “hebben ie dat ploatje asbest bie de voelnis zet?” “Asbest?”, vroag ik verboasd, “mainen ie dat ik asbest bie t voel zet.
Als we de politie niet terugbellen, zegt de blokjesbloes: Zai rookt naar Haïti en gebruikt een vrezelke bullet met de meiden. Haren we maar een duip in het dorp, zucht de koale.;“As wie plietsie no ais bellen”, zegt blokjesbloes: “Zai rokt haitied noar bezzen en bruukt n vrezelk bult meedzienen.” “Haren wie mor n daip ien t dörp”, zucht de koale.
Of - nog slimmer - u zorgvuldig omringen met seksuele attributen zoals condooms, dildo's en foto's van naakte vrouwen of porno-discs (kijk uit, het wordt doorverhaald en uw naam ligt zo te grabbelen).;Of - nóg slimmer - joe opzichteg omringen mit seksattributen as condooms, dildo’s en foto's van noakende vraauwen of porno-ploatjes (kiek oet, t wordt deurverteld en joen noam ligt zo te grabbel).
De vrouw krijgt een potje en ik heb geen dubbeltje om spullen voor haar te kopen! Wat heb je allemaal nodig, dan? Luiers, een kinderwagen, klaaier en dat zou dingen, weet je wel.;Vraauw krigt n potje en ik heb gain dubbeltje om spullen veur heur te kopen!” “Wat hest aal neudeg, den?” “Luiers, n kinderwoagen, klaaier en dat zok dingen, waist ja wel.” “k
In het huis brandde in de winter alleen in de binnenkamer maar een kaggel en zo werd het de gewoonte dat we om de beurt in de kamer wassen moesten, op zaterdagavond en desmaals niet hemmel, maar alle klaaier uit.;In hoes brandde in winter allain in hoeskoamer mor n kaggel en zo wuir t de gewoonte dat wie ons om beurten in koamer wasken mozzen, op zoaterdagoavend en dismoal nait hemmeln, mor ale klaaier oet.
Het zou beginnen, zo stond in de krant te schrijven, maar dat wordt altijd later, ja wel niet zo snel als bij een verkoop, want zo'n feestdag moet er heel wat uitgehandeld worden voor de duisternis.;Den zol ‘t begunnen, zoo was in krant schreven, moar dat wordt altied loater, joa wel neit zoo slim as bie ‘n verkoop, want zoo’n bouldag, d’r mout hail wat outmiend worren veur duustern.
"Mijn oor leg ik aan de kast, klop ik terug: ""Hier ben ik weer, met één gedicht is dat goed?"" ""Nee, ik wil gedicht altijd horen."" ""Dat kan ik nu niet, ik schrijf een verhaal over je plaats in de kerk.";Mien oor leg k aan kaast, klop eefkes: 'Hier bin k weer, mit ain gedicht is dat goud?' 'Nee, k wil gedicht haildaal heuren.' 'Dat kin nou nait, k schrief n verhoal over dien stoan in kerk.
Jazeker, haar moeder was nog heel levendig. Of ze het wel wat vinden zou als hij haar moeder eens zou opbellen? O, zeker wel, zei ze, dat kan ik jullie aanraden, dat ze geweldig zullen vinden.;Joa zeker, heur moe was nog hail vitoal.” “Of ze t wel wat vinden zol as hai heur moe ains opbellen zol?” “O, zeker wel”, zee ze, “dat kin ik joe aanroaden, dat zel ze geweldeg vienden.
"Bram: ""We gaan zo weer mee, opa?"" ""Ja, dammet in de haarstvakantie, een andere week."" ""Of ..."" zei hij met een grote glimlach op het gezicht, aan corona denken, ""als ik op dinsdag verkouden ben!""";Bram: 'We gaan zo weer mee hè, opa?' 'Joa, dammeet in d'haarfstvekansie, aander weke.' 'Of ...' zee e mit n grode grijns op t gezichte, denkend aan corona, 'als ik op dinsdag verkouden ben!'
Vroeger noemden we een ruit dak 'huis met haar' en luziers 'leventeg' (bruukbar), 'snertstokjes' (vermicelli) en 'kwoaien gezichtsbloemen' (viooltjes / grilkiekers).;Vrouger nuimden wie n raaiten dak 'hoes mit hoar' en luzivèrs 'leventeg' (bruukboar), 'snertstokjes' (vermicelli) en 'kwoaie gezichtbloumpkes' (viooltjes /grilkiekers).
"Teak laagde me de deur uit en zei: ""Dat krijg je ervan, als je de klommen op de grond koopt...."" ""Joah, laag doe maar!""";Teake laagde mie vairkaant oet en zee: “Dat krieg je der van, as je de klompen op de grui kopen....” “Joa, laag doe mor!” zee ik, “mor ik zit der mit!” “Och”, zee
"""Nou, zei de vrouw, toen ik het hele gesprek met haar hoorde, ""was je bijna een half uur met haar aan het bellen en wat zeiden ze daar?"" ""Nou, de televisie is weer klaar, zei ik vrolijk.""";“Nou”, zee vraauw, dai t huile reloas mit aanheurd haar, “doe bist sikkom n haalf uur mit heur aan t bellen west en wat zeeën ze doar?” “Nou, televizie is weer kloar”, zee ik vrolek.
"Er is inderdaad geen handvol maar een landvol jongeren, die voor een stad naast jou in de markt komen. ""Dat is het maar net, zei het meisje, ""daarom heb ik die droom vrijwel onmiddellijk aan haar toegevoegd.";Der is ja gain haandvol mor n laandvol jongkerels, dij veur n stee noast die in aanmaarken komen.” “Dat is t mor net”, zee t wicht, ”doarom heb k dij dreumerd votdoadelk aan zied zet.
Germaanse talen ging toevallig van instrumentalis genoemd over op de 3e naamtaal, wel of niet versterkt met een voorwoord zoals mit of deur: ik lang die wat aan met een tak, of: ik was door hem verslagen.;Germoanse toalen ging toak van instrumentalis benoam over op 3e noamvaal, aal of nait verstaarkt mit n veurzetsel zo as ‘mit’ of ‘deur’: ik lang die wat aan mit n tak, of: ik wer deur hom versloagen..
Dus zei ik: De vrouw heeft de keten af, maar...nee ik red me wel meneer, bedankt voor het aanbod! Kette is er zo weer om. Gelukkig, zei meneer, nu wens ik u nog een prettige dag toe.;Dus zee ik: “Vraauw het kette der òf, mor...nee ik red mie wel meneer, bedaankt veur t aanbod!...Kette zit der zo weer om.” “Gelukkig”, zee meneer, ”nou dan wens ik u nog een plezierige dag toe.
Ik heb al van alles gedaan: ik ben twee keer met die zelfde vrouw getrouwd, ik heb twee zonen, ik kan nu fietsen en mijn boek Twee raden en de andere tweeling! is in de reclame bij;k Heb al van ales doan: k bin twij moal mit dezulfde vraauw traauwd, k heb twij zeuns, k kin nuver fietsen en mien bouk ‘Twij roadens en aander gedwèlm!’ is in de rekloame bie
"Toen echter zijn gedachten weer onder controle waren, wachtte zij tot het gewicht met veel moeite in de benen was gekruikt; haar moeder groette of bedankte met haar snoep, waarop zijzelf uiteindelijk goed kwam.";"Dou ales noar zien dunken weer ‘under control’ was, har e wacht tot t ‘wicht’ mit veul muite in bainen krukt was; heur moeke begroutte of dankte mit heur snoede, woarop dij zölf ok in t ende kwam."
Als je meer wilt weten, kijk dan bij: www.kostverloren.org www.de-amshoff.nl www.andredokter.nl www.npv-pomopost.nl www.torf.nl www.eltjedoddema.nl;As je meer waiten willen kiek din bie: www.kostverloren.org www.de-amshoff.nl www.andredokter.nl www.npv-pomopost.nl www.torf.nl www.eltjedoddema.nl
Toen ik klaar was met schouwen had ik vier kisten met bloemen achter het huis staan, er waren gouden bloemen, vlietige lichten, megruten en tuiltonen, de een bleed nog mooier dan de ander.;Dou ik kloar was mit sjaauwen haar ik vaaier kiskes mit bloumkes achter t hoes stoan, der wazzen goldjebloumen, vlaitege lieskes, megrieten en tudeletoanen, d'aine bluide nog mooier as d'aander.
"Hinder huilt triomfanteel pas en kort in de lucht en roept in grote luchten: ""Ik heb het, ik heb het!"" ""Ik schrik mijn hartstilte dood, jij konijnafval met je vreugde, roept";Hinder huil triomfantelek pas en koart in lucht en ruip in grote opluchten: “Ik heb t vonnen, ik heb t vonnen!” “Ik schrik mie hartstikke dood, doe kounavvel mit dien gejoel”, ruip
Een voor mij vreemde man, een goede vijftiger schijnt mij zo aan te trekken, stapt wat knopvol van de fiets af, terwijl ik met een vergrendeld hoofd bezig ben van een hond aan zijn halsband in het gras te rieten.;n Veur mie vrumde man, n goie viefteger liekt mie zo tou, stapt wat knovvelg van fiets òf, terwiel dat ik mit n vergrèlde kop bezeg bin kaalf van n hond aan zien haalsband in t gras te rieten.
Als jongeman kon ik behoorlijk graag vissen en maakte mezelf een hengel van een lange tak, dobber van een kirk met een stokje der deur, het touw van sterke naaigers en het hoekje van een kromboge knoppel.;As kwoajong mog k aibels groag visken en muik miezulf n hengel van n laange tak, dobber van n körk mit n stòkje der deur, t snoer van staark naaigoaren en t hoakje van n krombogen knopspèl.
De adders branden dransen emmers faks eieren gronelen huilen in een jaauwster knoeien ladders marrelen nozzelen ontroeren pozen roaken schreeuwen;Addern brannen draanzen emmern faksaaiern gronneln haauwgen ìnjen jaauwstern knoagen laaitern marreln nuzzeln ontroeren poazen roaken schruien trevven ukkern vreten wazen zoltjen en blieven
"""Ja, rustig maar hur,"" zegt pa lachend, ""we gaan al naar bed hur, schatje."" ""Joah, schatje, dit was inderdaad een heel bijzondere, maar toepasselijke kerstvakantie,"" zegt papa.";‘Joa, stil mor hur’, zegt pa laggerg, wie goan al op bère hur, laiverdje.’ ‘Joa, laiverds, dit was inderdoad n hail biezundere, mor toupazende kerstnacht,’ zegt pa.
Het bietje draait haar grote achterbak vergrendeld naar hem toe en spuitt nog iets van: 'Om zeven uur 's avonds zat je al alles te doden in de stoel en nu spoekt je door het hele bier als een halve maal.';Bientje draait heur groot achterwaark vergreld noar hom tou en sputtert nog wat van: 'Om zeuven uur vanoavend zatst al aal wat te doddern in stoul en nou spoukst deur t haile bère hen as n haalfmaal.'
Nee, jullie moeten eerst schoongemaakt worden, en onder de douche Onner douche, hoe kom je daar wel bij, ik heb ook geen pon bij me, wil je mijn broer even bellen? Weet u wel hoe laat het is?;“Nee, u moet eerst schoongemaakt worden, en onder de douche” “Onner douche, hou kommen joe doar wel bie, k heb ook gain pon bie mie, wil ie mien bruier eefkes bellen?” “Weet u wel hoe laat het is?
Koba's achtervolgers, de homo sapiens sapiens, konden primitieve 7 woorden zeggen, al was het strot hoog genoeg in de keelholte enigszins, waardoor de tong meer ruimte kreeg, beweger en smaker werd.;Koba’s noageslacht, de homo sapiens sapiens, primitieve ‘woorden’ 7 zeggen kon, mos t strötteheufd genog ien keelholte iendoald wezen, woardeur tong meer roemte kreeg, beweegleker en smaler wer.
"En van nu af zal ik het allemaal horen; het verdriet, het angsten, de lange nachten, het leven, het oud en de dagen zat zijn, naar verlangen naar alles die er, soms al zo lang, niet meer zijn.";"En vannijs zal ik t apmoal heuren; t verdrait, t baange wezen, de laange nachten, t muid wezen, old en de doagen zat wezen, verlangst noar aal dij dij der, sums al zo laank, nait meer binnen."
"""Eén dag later,"" dacht ik bij mezelf, ""dan had die rotte baard hier rondgeknipt en ik heb het gevoel dat, als hij de kans kreeg, hij het hele huis op zijn hoofd zou zetten.""";“Nog ain daag,” docht ik bie miezulf, “din hèvve dat röttege baist hier rondhinkelepinken en k heb t gevuil dat, as e kaans krigt, hai t haile hoesholden op kop zetten gaait.”
"Zo, zei de vrouw, ""Daar hadden jullie wel belang bij de tafel?"" ""Ja, hij moet dan wel een beetje opknappen worden,....hai is niet nieuw meer, maar de prijs is er ook naar...niet daar?";“Zo”, zee de vraauw, “Dus ie haren wel belang bie de toavel ?......Joa, hai mout vanzulf wel n beetje opknapt worren,....hai is nait nij meer, moar de pries is der ook noar...nait din ?
Stainhouses, zei ik, wat hebben jullie gewonnen? Tienduizend mark heb ik gewonnen, ik sta trillend op mijn benen, het loopt heel dun door mijn broek, zei hij met tranen in de ogen.;Stainhoes”, zee ik, “wat hebben ie wonnen den?” “Tiendoezend maark heb ik wonnen, ik stoa te trillen op mien bainen, t lopt mie sikkom dun deur de boksem”, zee hai mit troanen in ogen.
"Toen hij in het eind kwam, kreeg de muis bij zijn kleding en zou hem net doodmaken, moest hij doodbetoond toereipen: ""Als je me opspoor dan zal ik je geduldige armhartigheid eerlijk terugbetalen.""";Kwoad kwam e ien t ìnd, kreeg moes bie zien kladden en zol hom net dood moaken, dou moes hom doodsbenaauwd touraip: “As ie mie spoaren den zel k joe teunde baarmharteghaid eerlieks terugbetoalen.”
De rode knop boven het spiraalstaal beweegt van stroef naar stroef, vlugger en vlugger, op en af, het rood in blauw kleurt strepen naar grijs, de holtes naar de binnenste stilte.;De rooie knop boven spiroalend stoal beweegt van stroef noar soepel, vlugger en vlugger, op en del, t rood ien blaauw kleurt streepkes gries, de holtes zingen ien de ienhollen stilte.
"De kroeg kon er eindelijk aan de deur zeggen: ""Die veren mogen in het voorjaar en de zomer wel heel nu zijn, maar de mijne beschermen mij het allernaast goud tegen de kou in de winter en waar blijf je daar?";Kraai mouk der n ìnd aan deur te zeggen: “Dien veren maggen ien veujoar en zummer den wel hail nuver wezen, mor mienent beschaarmen mie allernoarst goud tegen kòl ien winter en woar blifstoe din?”
De ouders van de meiden hadden de beste wijdvoet in de opkamera van het voorhuis, dus het kon een beetje stollen wel horen en toen het stil was, dacht ik niet in het script, maar na een stijve keertje kratte ik de gereedschapsstukken;Ollu van wichter haren bèrstee wiedvot in opkoamer van t veurhoes dus kon t n beetje gestommel wel lieden enM t ston ducht mie nait in t draaibouk, mor noa n stief ketaaier ‘eerabbels kraben’ wui
Je hebt ze hartstikke goed verzorgd, maar wat voor voedsel heb je ze toch niet gegeven? Wel, zei ik, gewoon was je in de schuur geweest en zo nu en dan wat groenvouder. 9;Doe hest ze hartstikke goud verzörgd, mor wat veur vreten hest ze wel nait geven?” “Nou”, zee ik, “gewoon was doe in de schure stoan hest en zo nou en dìn wat gruinvouer.” 9 “Nou”, zee
Heel even e, ondanks dat herder al maar drie jaar oud was en ook al meer begon te lijkboarden, haast kniezen toen ie om zich keek naar al die burgers met een zieke zak, die zo verdrietig keken.;Hail even mos e, ondanks herder dij aal mor driester wer en ook al meer begunde te likkeboarden, hoast kniezen tou e om zuk hìn keek noar aal dij burgerlu mit n zaik baistje, dij so verdraiteg keken.
"""Niet te dicht bij de jongen, daar te links, maar hij staat zelf in de brand!"" ""Wat wil hij nu dan?"" ""We vroegen ons af, toen hij met grote stappen naar de rand van het land liep.""";“Nait te dicht bie jongs, da's te link, dammeet stoan ie zulf in de braand!” “Wat wil e nou den?”, vruigen wie ons òf, dou hai mit grode stappen noar d'raande van t laand laip.
Johan, 'begint ze, 'bij ons in het tuinhuis hebben we binnenkort het kerstfeest gehad. 'Dat zal wel een mooi feest zijn', grapt hij, 'dat de mensen die daar wonen, die allemaal zo oud zijn als;Johan,' begunt ze, 'bie ons in t bejoardenhuus hebben wie binnenkört sunterkloasfeest.' 'Dat zel wel n mooi feest wezen,' grapt e, 'dij lu dij daar wonen, dij binnen aalmoal ja sikkom net zo old as
Een ongewoonte is het al de hele dag trekken geen vogeltje de bek los om ook maar een aansporing te geven aan een waarschuwing of wat in de twijste ver liekt op een vleugje blijdschap of enigszins verdriet.;n Ongewoonte is t al d’haile dag trekt gain vogeltje bekje lös om ook mor n aanzet te geven tou n woarschaauwen of wat in d’wiedste wiedte liekt op n laidje van bliedeghaid of ainzoame treur.
Op één van de nummertagen was er een groot waterspectaculo georganiseerd en één van de activiteiten was badendjes-sputen in het plaatselijk zwembad en daar was net een gokje wagen aan verbonden.;Op ain van de nommerdoagen was der n groot wotterspektoakel organiseerd en ain van de aktiviteiten was ‘badeendjes-spuiten’ in t ploatselke zwembad en doar was geliek ‘n gokje woagen’ aan verbonden.
Maar terug naar het begin: bij het losmaken van de grond vond ik een diggel en toen ik die goud bekeken, bleek het een overblijfsel van een koppie of een schuddelke, wit van kleur met een blauw-bruinrood motief.;Mor terug noar t begun: bie t lösmoaken van de grond von ik n diggel en dou ik dij goud bekeek, bleek t n restant van n kopke of n schuddeltje, wit van kleur mit n blaauw-broenrood motiefke.
