Nederlands;Gronings
Maar elke keer kreeg de wind te wel weer te pakken en dunderde en stoof het weer weg.;Mor elke keer kreeg de wind te wel weer te pakken en den dwirrelde en stoof t weer vot.
Ieder en iedereen bleef dakloos.;Elk en aine bleef onnerdak.
Mensen en dieren hadden bij dit weer niets anders te zoeken.;Minsk en daaier haren bie dit weer niks boeten te zuiken.
Wat je ook wilde, het was december.;Wat wol je ook t was decembermoand.
Oude mannen uit het dorp hadden dit ook allemaal voorspeld.;Olde mannen oet t dorp haren dit ook aal veurspeld.
Gelukkig Ham, deze zomer is het allemaal.;Berend Ham, dizze zummer aal.
het zou een zware winter worden.;t Zol n strenge winter worden.
Het begin was er.;t Begun was der.
's Nachts vroeg het dat het mooi was.;’s Nachts vroor t dat t knapte.
Of dat nog niet genoeg was, hadden diezelfde oude jongens ook nog storm in de zin.;Of dat nog nait genog was, haren dijzulfde olde kereltjes ook nog störm in de zin.
Ze kregen ook gelijk, omdat de wind door de schoentjes begon te buigen.;Ze kregen geliek ook, omreden dat de wind deur de schösstainen begon te buldern.
Ene veeg het bloed van zijn snoot en liep langs het verloren land en bij het water langs.;Enne veegde t bloud van zien snoet en luip langs t verloren laand en bie t wotter langes.
Daar zag hij de grote kerk.;Doar zag e grote kerk.
Het was bijna net een dikke hondje liggend in de bergen.;t Was sikkom net n liggende dikke hond in roeg laand.
Hij rende door de straten naar huis en was blij dat hij achterhuis kwam.;Hai runde deur de steegjes noar hoes en was blied dat e achterhoes kwam.
Toen hij binnen was stond er warme melk voor hem klaar.;Dou e binnen was ston der waarme sukkelloamelk veur hom kloar.
Zijn moeder keek hem aan en wilde iets zeggen.;Zien moeke keek hom aan en wol wat zeggen.
Enne dronk de deur in zijn sapmelk.;Enne dronk deur in zien sukkeloamelk.
Heb je gevochten?, vroeg zijn moeder.;‘Hest vochten?’, vruig zien moeke.
Ze zag de grote winkelhoek in zijn jas.;Ze zag de grode winkelhoak in zien jaas.
Ene knipte en dronk de deur uit.;Enne knikte en dronk deur.
Zijn voeten hoorden hij bij de kachel.;Zien vouten huil e bie kachel.
Er kwam stoom uit zijn sokken.;Der kwam daamp van zien sokken.
Moeder rookte de kachel nog een beetje op en keek door het deurje.;Moeke reukelde de kachel nog wat op en keek deur t deurtje.
Achter het glasje holden de vlammen zich vol.;Achter t gloasje vraten de vlammetjes zuk vol.
Ach, breng me nog een kit vol, vroeg ze.;‘Ach, hoal mie nog n kit vol’, vruig ze.
Het werd snel donker en Enne liep in volle fortuin naar het schuurtje.;t Wuir snel duuster en Enne luip in volle voart noar t schuurtje.
In het oude schuurtje had de wind vrij spel door alle e gleeven en gingen.;In t olde schuurtje haar de wind vrij spel deur al e glieven en goaten.
Alle kolen en turf haar een witte muts op.;Ale kolen en törf haren n widde muts op.
De ene stond stil.;Enne stond stil.
Gemiddeld alle geluiden van wind en storm hoorde hij iets anders.;Middenmaank ale geluden van wind en störm heurde hai wat aans.
Het was klokgeloude.;t Was klokgeluu.
Het was de grote klok.;t Was de grode klok.
Hij hoorde de grote klok.;Hai heurde grode klok.
Het gebouw werd in stukjes geblazen door de wind.;t Gebimbam wuir aan stukken bloazen deur wind.
Het klonk angstaanjagend.;t Klonk aangstaanjoagend.
Sneller vulde hij de bak en liep weer naar huis.;Snel vulde hai de bak en luip weer noar hoes.
Luister toch.;Heur toch.
Er was nu niets meer aan te doen.;Der was nou niks meer aan te doun.
Geen honderd vrouwen konden hem aanstaan.;Gain honderd moekes konnen hom toes holden.
Hij liet de bak proeven, de törven vlogen bijna in rondte.;Enne luit de bak smakken, de törven vlogen sikkom in rondte.
Ik wil er nog uit, zei hij.;‘Ik wil der nog oet’, ruip Enne.
Haar klok gaat te keren.;‘ Heur de klok gaait te keer.
Er is iets vrij.;Der is wat loos.
Misschien wel een schip op het strand. Mama!!!!;Messchains wel n schip op t straand.’ ‘Moeke!!!!’
Ja, het is goed, maar zet je muts op en de handschoenen aan.;Joa, t is goud, mor zet dien muts op en handschounen aan.
Je bent er om acht uur weer en weer gaat de deur op knip.;Bist der om acht uur weer en aans gaait deur op knip.
De kist buiten gebleven!! Enne keek naar haar.;Den kist boeten blieven!!’ Enne keek heur aan.
Er zaten kleine twinkeljes in haar ogen.;Der zaten klaine twinkeltjes in heur ogen.
Hij wist het zeker, dat ze dat niet zou doen.;Hai wis t sekuur, dat zol ze nait doun.
Ene knipte rustig van u.;Enne knikte trankiel van joa.
De klok ging nog steeds teker, toen hij door de wind dook.;De klok ging nog aal tekeer, dou e deur de wind dook.
Dit betekende maar één ding.;Dit betaikende mor ain ding.
Schip op het strand. Hij boelde de deur en de storm deed zijn best om hem tegen te houden.;‘Schip op t straand.’ Hai buulde deur en de störm dee zien best hom tegen te holden.
Het was ouderwets.;t Was aaldernoast.
De storm was een kwade en reed bijna alles tegen de vlakte.;De störm was n kwoaie en juig sikkom alles tegen de vlakte.
Na een minuut of tien was Enne dik achter de rug.;Noa n menuut of tien was Enne dik achter de poest.
Hij wilde zichzelf eerst maar een schoentje zoeken, dacht hij.;Hai wol zuk veureerst mor n schoeltje zuiken, docht e.
Waar kon dat beter bij de kerk?;Woar kon dat beter bie kerk.
Daar zou die storm geen vat op hebben.;Doar zol dij störm gain vat op hebben.
Die kerk stond er al zo lang.;Dij kerk ston der aal zo laank.
De leraar op de school had haar wel eens verteld dat hij er in 1500 nog bijna stond.;Meester op schoul haar wel ais verteld, dat e der in 1500 nogwat al stond.
Hij was vernoemd naar Sunderklos.;Hai was vernuimd noar Sunderkloas.
Hé, hier kon je eventjes bijkomen.;Hai, hier kon e eefkes biekommen.
Enne keek omhoog en luisterde.;Enne keek omhoog en luusterde.
Het zware dreunen van de klok ging maar door.;De zwoare dreunen van de klok ging mor deur.
De wind hoolde rond de toren en door de bomen.;Wind hoelde om toren en deur de bomen.
Boven hem zag hij de wolken jagen.;Boven hom zag e de wolken joagen.
Hij werd er enthousiast van en sloeg bijna achterover.;Hai wuir der doezelg van en sluig hoast achterover.
Deze kerk ging bij de storm niet ondersteboven.;Dizze kerk ging bie störm nait onnersteboven.
Hij was hier vaak binnen geweest met zijn vriend Robbe.;Enne was voak hier binnen west mit zien kammeroad Robbe.
Elke avond om zeven uur werden de klokken luid.;Elke oavend om zeuven uur wuiren de klokken luud.
De vader van Robbe was jong.;Voader van Robbe was köster.
En toen zij het goud vonden, mochten ze de klokken luiden.;En as dij t goud vond den mochten ze de klokken luden.
Het werd allemaal gauw een spul van zichzelf.;t Wuir aal gaauw n spullechie vanzulfs.
Als de klokken eens goed aan waren te lopen dan huilen ze zich vast en werden ermee omhooggeslagen.;As de klokken ainmoal goud aan de loop waren den huilen ze zok vast en wuiren mit omhoogsleurd.
De vader van Robbe stond er altijd lachend bij te kijken, dat het niet te gevaarlijk werd.;Pa van Robbe ston der den altied lachend bie te kieken, dat t nait te gevoarlek wuir.
"Het was een leuke sport; klokkenluiten.";"t Was n schiere sport; klokluden."
Maar nu zouden er wel iemand anders aan de touw trekken.;Mor nou zol der wel n aander aan t taauw trekken.
Dit was geen kinderlijke avond.;Dit was gain kinderspul vanoavend.
Er was nog een andere plaats in deze kerk, waar hij graag eventjes ging kijken.;Der was nog n aander stee in dizze kerk, woar e groag eefkes ging kieken.
Op een grote witte muur hing ergens opzij een schilderij.;Aan n grode widde muur aargens opzied hong n schilderij.
Daar stond hij altijd met de mond open naar te kijken.;Doar ston e altied mit open mond noar te kieken.
Op het schilderij stond Kerstmis.;Op t schilderij ston Sunterkloas.
Dat vond hij nog altijd vreemd als de zondag in de kerk.;Dat von e nog aaltied vrumd Sunterkloas in kerk.
De sterkkloas kwam bij de huizen langs als het jaar was.;Sunterkloas kwam bie de hoezen laangs as e joareg was.
Den kreeg iedereen speelgoed en spullen en snoep.;Den kreeg elk en ain speulgoud en dingen en slik.
Maar hier stond Kerstmis op een schilderij.;Mor hier ston Sunterkloas op n schilderij.
Enne keek omhoog en zag de schepen hangen.;Enne keek omhoog en zag de schepen hangen.
Aan dikke kabels hangen er zeilschepen aan zolder.;Aan dikke kabels hongen der zaailschepen aan zolder.
het was er een stukje of zo.;t Waren der n stuk of wat.
Ze waren net echt.;Ze waren net echt.
De zeilen stonden buiten en je zag ankers hangen en bij een stak ik een stukje kanonnen uit de zijkant.;De zaailen stonden oet en zagst ankers hangen en bie aine staken lutje kanonnen oet ziekaant.
Robbe's vader heeft haar uitgelegd dat de schooldag niet alleen goed voor de kinderen was.;Robbe zien pa haar oetlegd, dat Sunterkloas nait allenneg goud was veur de kinder.
Maar....;Mor....
Dat Kerstman ook de zeejongers beschermde toen ze buiten op zee waren.;Dat Sunterkloas ook de zeelu beschaarmde as ze boeten op zee waren.
En toen stond er een zetje om eventjes op adem te komen.;Enne stond e n zetje om eefkes op oadem te kommen.
Zijn handen en voeten pipperden van de kou.;Zien haanden en vouten pipperden van kòlde.
Enne kroop aan de deur en kreeg hem open.;Enne rabbelde aan deur en kreeg hom open.
Het was maar een tuinboom en hij stond voor het schilderij van Kerstman.;t Was mor n hoanetree en hai stond veur t schilderij van Sunterkloas.
Zijn mond vloek open en er luipen rillen over zijn rug.;Zien mond vuil open en der luipen rillens over zien rug.
Het schilderij van Kerstmis was leeg.;t Schilderij van Sunterkloas was leeg.
Ja, nee, alles was er nog wel, maar de schooldag was weg.;Joa, nee, alles was der nog wel, mor Sunterkloas was vot.
Daar zag je een omtrek van de zonsweer en het was deels wit.;Doar zagst wel n omtrek van Sunterkloas en t was hailndail wit.
Het leek alsof hij er uitgeknipt was.;t Leek net of e der oetknipt was.
Maar dat was niet zo.;Mor dat was nait zo.
De verf was weg, maar ook weer niet.;Vaarf was vot, mor ook weer nait.
Enne draaide zich om en rende weer naar buiten.;Enne draaide zuk om en runde weer noar boeten.
Hij zuigde alle lucht in en rende zo die dikke storm weer in.;Hai zoog ale lucht in en runde zo dij dikke störm weer in.
Robbe kwam naast hem lopen.;Robbe kwam noast hom lopen.
De zonsmars is weg, schreeuwde Enne.;‘Sunterkloas is vot’, schraiwde Enne.
Robbe nijkopte en vond dat eerst wel goed.;Robbe nikkopte en vond dat veureerst wel goud.
Bij de dijk moesten ze zijn, daar was je te doen.;Bie diek mozzen ze wezen, doar wast te doun.
Op het schilderij van hem zit nu een witte plek.;‘Op t schilderij van hom zit nou n widde plek.
Je weet wel.;Waist wel.
Waar hij anders altijd te zien is.;Woar hai aans altied te zain is.
Helemaal wit.;Hailmoal wit.
Foetsie. Een windvlieg bleis de rest van Enne zijn woorden weg.;Foetsie.’ n Windvloag bluis rest van Enne zien woorden vot.
Wat stond er een gerucht volk op de dijk.;Wat ston der n tjucht volk op diek.
Ieder deed zijn best om op zijn beurt te blijven.;Elk dee zien best doar om op bain te blieven.
Noordweste zette de deur.;Noordwester zette deur.
De jongens dronken met hen beiden gemiddeld het volk.;Jongens doken mit heur baaident middenmaank t volk.
Robbe was het na een paar tellen helemaal kwijt.;Robbe was e noa n poar tellen aal kwiet.
Grote golven knetten tegen de dijk op.;Grode golven knapten tegen diek op.
De luchtman vloog met grote witte vuurwapens iedereen om zijn kop.;Broezem vloog mit grode widde flotters elkenain om kop.
Het water probeerde bij de dijk omhoog te kruipen.;t Wotter perbaaierde bie diek omhoog te kroepen.
Steeds hoger en hoger.;Aal hoger en hoger.
het volk moest van de dijk afgevoerd worden.;t Volk mos van diek ofspuilt worden.
Weg daarmee.;Weg der mit.
Roem voor het water.;Roemte veur t wotter.
Ene keek en keek.;Enne keek en keek.
Waar was dat schip?;Woar was dat schip?
Was er wel een schip in nood?;Was der wel n schip in nood?
Het was ook zo donker boven het water.;Het was ook ja zo baalkeduuster boven t wotter.
Zwijgend stonden mannen en enkele vrouwen te kijken.;Swiegend stonden manlu en wat vraauwlu te kieken.
Iedereen had zo zijn gedachten over dit donderende geweld.;Elk haar zo zien gedachten over dit dondernd geweld.
Ene voelde het zout op zijn lippen.;Enne vuilde t zolt op zien lippen.
Toen raapte een van de mannen.;Dou brulde ain van manlu.
Hij wees over het water.;Hai wees over t wotter.
Het was Pasternak.;t Was Pasternak.
Ene zag in een fles wat.;Enne zag in n flitse wat.
Het was een zeil.;t Was n zaail.
een zeil in vluiers en raavels.;n Zaail in flarden en roavels.
Maak een stukje van een paal.;Dou n stuk van n mast.
Het slingerde zo hard in het weer, dat het stuk zail onmiddellijk het kokende water raakte.;t Slingerde zo haard in de weer, dat t stuk zaail sikkom t kokende wotter roakte.
Toen was het allemaal weer weg.;Dou was t aalmoal weer vot.
En dou had het zeewater hem te pakken.;En dou haar t zeewotter hom te pakken.
Het spoelde Enne om de voeten.;t Spuilde Enne om vouten.
Met twee, drie sprongen was hij weer iets hoger.;Mit twij, drij sprongen was e weer wat hoger.
Zijn schoenen en sokken en boksempen waren rompsel.;Zien schounen en sokken en boksempiepen waren sjompenat.
Voelen deed hij niets.;Vuilen dee e niks.
Hij was altijd stok-en-stok beschuldigd.;Hai was aal stok-en stokverkleumd.
Pasternak kwam erbij en drukte hem op de zeil.;Pasternak kwam der aan en drokte hom op zied.
Hij brulde iets in de wind.;Hai brulde wat in de wind.
Het is de Mercator.;’ t Is de Mercator.
Daar heb ik zelf ook nog voeten op.;Doar heb ik zulf ook nog op voaren.
Holt en zo wat.;Holt en zuks wat.
Uit de Oostzee.;Oet Oostzee.
Er moeten vijf mannen aan boord zijn.;Der mouten vief man aan boord wezen.
Kapitein Hansson wil niet met minder en ook niet met meer rijden.;Kaptain Hansson wil nait mit minder en ook nait mit meer voaren.
Daar kon je altijd gif op nemen.;Doar konst altijd gif op innemen.
Het is de Mercator. De knecht van Twezelstee wist te vertellen dat ze alleen maar vier mannen op de wand had.;t Is de Mercator.’ Knecht van Twiezelstee wos te vertellen dat ze aal vaaier man op waal haren.
Nog één man weg, dacht Enne.;Nog ain man vot, docht Enne.
Waar zou die nu zijn?;Woar zol dij nou wezen?
Nog aan boord of was die waarschijnlijk al in dit koolende zwart water gekomen?;Nog aan boord of was dij messchains aal in dit kolkende swaarte wotter kommen?
Pasternak liep weer naar zijn oude huis.;Pasternak luip weer noar zien olde stee.
Daar had hij beter zicht op het schip.;Doar haar e beter zicht op t schip.
Hij liep er weg achter.;Enne luip der vot achteraan.
Hij rende door het duister en probeerde het schip te vinden in het grove duisternis.;Hai tuurde deur t duuster en perbaaierde t schip te vinden in de graauwe duusternis.
Af en toe werd het iets lichter en toen schoon voor hem zag hij weer die mast met die kapotte zeil.;Eefkes wuir t wat lichter en doar schuuns veur hom zag e weer dij mast mit dat kapodde zaail.
Maar nu zag hij dat er een figuur boven zat.;Mor nou zag e dat der n figuur boven in zat.
Er zat een man boven in de mist.;Der zat n man boven in mast.
Hij trok Pasternak aan zijn jas.;Hai trok Pasternak aan zien jaas.
Kijk daar, luip hij zo hard als hij kon.;‘Kiek doar’, ruip e zo haard as e kon.
Op een gegeven moment zagen ze een man boven in de mast zich klem vasthouden.;Hail eefkes zagen ze n man boven in de mast zich klem holden.
Dan is dat nummer vijf! En nu wegwezen jij snotter!!!, gromde hij.;‘Den is dat nummer vief!’ ‘En nou wegwezen doe snötter!!!’, gromde hai.
Hij voelde zich diep beledigd.;Enne vuilde zuk daip beledigd.
Had hij daar niet aangewezen dat die vijfde matroos was!;Haar e doar nait aanwezen woardat dij viefde matroos was!
Kwad klopte hij weg, gemiddeld het volk op de dijk en botste zo tegen Robbe aan.;Kwoad stampte hai vot, middenmaank t volk op diek en botste zo tegen Robbe aan.
Wat was er nou met de zondag, wilde hij weten.;‘Wat was der nou mit Sunterkloas’, wol dij waiten.
De herfstklaas op het schilderij is weg.;‘Sunterkloas op t schilderij is vot.
Ik was er nog evenjongen en toen zag ik het schilderij.;Ik was doar nog eefkes en dou zag ik t schilderij.
Alles is er nog, maar Kerstmis was weg.;Alles is der nog, mor Sunterkloas was weg.
Dat was wit.;Dat was wit.
Het zag er raar uit.;t Zag der roar oet.
Ga je binnenkort met de bliksem?;Gaaist straks mit kieken?
Door het geluid van de wind en het briesje van het kwaadaardige water klonk er vrolijk.;Dwaars deur t gehoel van wind en t gebroes van t kwoade wotter klonk gejoel.
De vijfde matroos werd meer dood dan levend op de dijk gelegd.;Viefde matroos wuir meer dood den levend op diek legd.
Voldublieft werd hij ingepakt in dekens en grote lappen zeildoek.;Votdoalek wuir e inpakt in dekens en grode lappen zaaildouk.
Niemand gaf nog iets om het schip dat ergens in dat woeste water in het weer slingerde.;Gainent gaf nog wat om t schip dat aargens in dat woeste wotter in de weer slingerde.
Het zou niet lang duren of de gromende zee zou het hele schip verrassen en het zou zinken of uitvaarbaar vallen.;t Zol nait laank duren of de grommende zee zol t haile schip verknuren en t zol zinken of oetmekoar vaaln.
Er bleef alleen maar wrakholt van over.;Der bleef allenneg wrakholt van over.
In een grote optocht ging het weer bij de dijk om.;In n grode optocht ging t weer bie diek omdeel.
Ze kwamen allemaal eventjes in plaats van de dijk.;Ze kwamen aalmpal eefkes in lijte van diek.
Iedereen was blij dat het vloot veilige aanval was.;Elk was blied dat t voarensvolk vaaileg aan waal was.
De kerkklokken raakten gebrand en alleen maar de stormwind was nog te horen.;Kerkklokken bimbambeierden oet en allenneg störmwind was nog te heuren.
Vijf arme jongens werden op een koers goed ingepakt door Dijkstraat gereden.;Vief aarme kerels wuiren op n koar goud inpakt deur Diekstroat reden.
Pasternak liep erbij en probeerde ze iets aan het praten te houden.;Pasternak luip der bie en perbaaierde ze wat aan de proat te holden.
Ze kregen ook een fles agrarisch en wat te eten.;Ze kregen ook n fles aanlangt en wat te eten.
Robbe en;Robbe en
Enkelen kwamen gemiddeld te vol mee en ze waren blij dat deze zeelu weer grond onder de voeten had.;Enne luipen middenmaank te volk mit en ze waren blied dat dizze zeelu weer grond onder de vouten haren.
Toen ze bij de kerk aankwamen, ging een van de matrozen staan en aangeven dat hij van haar weg wou.;Dou ze bie kerk aankwamen, ging ain van matrozen stoan en beduudde dat e van koar ôf wol.
De kooi werd stilgelegd en stijf en strang kregen er vijf arme stumpers van af.;Koar wuir stilzet en stief en stram kropen vief aarme stumpers der ôf.
Robbe's vader deed de grote deur open en met alle rommelingen gingen de vijf naar binnen.;Robbe zien pa dee grode deur open en aal strompelnd gingen de vief noarbinnen.
Elke uit de lange optocht ging er achter.;Elk oet laange optocht ging der achteraan.
En de wormen gingen er ook in.;Enne wurmde zuk ook noar binnen.
De matrozen luipen langzaam door de kerk naar aan de muren.;Matrozen luipen langzoam deur kerk noar aan van de muren.
Ain nam zijn wollen muts af.;Ain nam zien wollen muts of.
De twee anderen trokken een nat shirt over zijn hoofd.;Twij aander trokken n nat hemd over kop.
Vorderde die zijn schoenen en sokken uit.;Vaarde dee zien schounen en sokken oet.
En nummer vijf, die ze op het nippertje heeft gered die bijna allemaal zijn goud uit heeft.;En nummer vief, dij ze op t nippertje red haren dee sikkom aal zien goud oet.
Hij nam alle geschenken van zijn vrienden over.;Hai nam ale giften van zien kammeroaden over.
Langzaam liep ik met een arm vol zakken naar één plekje.;Langzoam luip me mit n aarm vol polten noar ain plekje.
Het was het schilderij van Kerstmis.;t Was t schilderij van Sunterkloas.
Voor het schilderij bleef hij staan en hij praatte wat.;Veur t schilderij bleef e stoan en hai prevelde wat.
een gedicht of een gebed, of.......;n Gedicht of n gebed, of.......
Hij kreeg er geen verstand van.;Enne kreeg der gain verstand van.
Hij was stil van wat er in de kerk gebeurde, maar zijn hart klopte er wel vijf keer over.;Hai was stil van wat der in kerk gebeurde, mor zien haart sluig wel vief keer over.
Santerklaas!;Sunterkloas!
Die stond gewoon weer op zijn plaats op het schilderij.;Dij stond gewoon weer op zien plek op t schilderij.
Dat kon toch niet waar zijn.;Dat kon toch gain woar wezen.
Ene kon het niet geloven.;Enne kon t nait leuven.
Hij had het zelf gedaan...;Hai haar t zulf.....
De matrozen vochten elkaar om de schouders en Pasternak nam ze mee.;Matrozen vuilen mekoar om scholders en Pasternak nam ze mit.
Langzaam liep elke kerk weer uit.;Langzoam luip elk kerk weer oet.
Het was verschrikkelijk...;t Was aldernoast......
Robbe kwam er aan.;Robbe kwam der aan.
Ach jij met je zondagsklaas is weg!!, zei hij.;‘Ach doe mit dien Sunterkloas is vot!!’, zee e.
Ik heb het gezien, zei Enne.;‘Ik heb t zain’, zee Enne.
Ik heb het gezien. Hij liep naar het schilderij en keek en keek.;‘Ik heb t zain.’ Hai luip noar t schilderij en keek en keek.
De man met spierbreed haar en baard en fijne mantel keek om.;De man mit spierwidde hoar en board en ferwailen mantel keek weerom.
Het lijkt erop.;Leek t.
Kijk den! schreeuwde Enne.;‘Kiek den!’ reerde Enne.
Zijn stem geluisterd door de kerk.;Zien stem galmde deur kerk.
Jan Huttinga een dame 2018;Jan Huttinga n Daam 2018
OH SCHRIK OH SCHRIK OH KINDERSSCHRIK;OH SCHRIK OH SCHRIK OH KINDERSCHRIK
Een verhaal van;n verhoal van
Jan;Jan
Huttinga uit een;Huttinga oet n
Dame met dank aan mijn vader en moeder mijn opa en oma de buren en alle die mij de kelk muiken vroeger......;Daam mit dank aan mien pa en moe mien opa en oma de buren en aal dij mie kel muiken vrouger......
Ik ging vroeger als klein beudje vaak bij mijn opa spelen.;Ik ging vrouger as klaain beudeltje voak bie mien Opa speulen.
Eerst in de tuin werken en slaaien poten of bezens plukken. Er was altijd wel wat te doen.;Eerst in toen waarken en sloa poten of bezzen plukken.Der was altied wel wat te doun.
Ooit gingen we bonen plukken en toen gingen we beiden het gras voor het huis maaien.;Sums gingen we bonen plukken en den gingen wie baaident t gras veur t hoes maaien.
En als opa het goed aan de zin had dan kwam angststok voor de draad.;En as opa t goud op zin haar den kwam angelstok veur de droad.
We hadden het altijd zo druk met vissen achter bij de diep.;Wie haren t altied slim drok mit vissen achter bie t daip.
Opa met zijn vlekstok en ik met mijn grote trommel van wasmachine.;Opa mit zien angelstok en ik mit mien grote trommel van wasmesien.
Ik ving altijd voortijden met krummels brood.;Ik vong altied voorntjes mit krummeltjes brood.
Opa wilde dikken vangen en had een worm aan het hoekje.;Opa wol dikken vangen en haar n wurm aan t hoakje.
Eigenlijk wist opa daar niets van.;Aigenlieks kon opa der niks van.
Hij was niet echt een visser.;Hai was nait echt n vissersman.
Hij heeft niets gevangen.;Hai vong niks.
Tegen etenstijd toen mijn maag begon te knaarmen en het begon te duisternen, was het hoog tijd om de konijnen te vouwen.;Tegen etenstied as mien moag begon te knorren en t begon te twijduustern, was t hoogste tied om knientjes te vouern.
Het waren meestal zwarte konijnen.;t Waren maist swaarte knientjes.
Maar er waren enkelen bij die rijden die een wit kleerdoekje droegen op hun rug.;Mor der waren gounent bie dij druigen n wit doukje op rug.
Er was altijd wel genoeg gras en in de keuken stond een emmer met brood in de muts.;Der was altied wel genog gras en in keuken ston n emmer mit kapkes brood.
Opa zei altijd dat alle konijnen een naam hadden.;Opa zee altied dat ale knientjes n noam haren.
Hij was ze allemaal uit het hoofd.;Hai wos ze aalmoal oet de kop.
Maar ze lijkten zo verschillend op elkaar.;Mor ze leken zo aldernoast op mekoar.
Er waren zwarten en witten en witwerten en zwartwitten en gounent met een witte vlek op de snoet en een ander was .....;Der waren swaarten en witten en witswaarten en swaartwitten en gounent mit n widde vlek op snoet en n aander was .....
Ook ik geloofde mijn opa niet.;Och ik leufde mien opa nait.
hij was een dikke floper.;hai was n dikke snakkerd.
Toen het werk gedaan was, gingen we naar binnen en dan kregen we chocolademelk met een dikke pleverkoek.;As t waark doan was, den ging we noar binnen en den kreeg ik sukkeloamelk mit n dikke pleverkouk.
Of soms was er een dikke plakje stoet met boter en bruine suiker.;Of sums was der n dikke plak stoet mit botter en broene suker.
Toen ging er een groot lampje boven de tafel aan En toen vroeg ik opa of hij nog een verhaal wou vertellen.;Den ging grode laamp boven toavel aan En den vruig ik opa of e nog n verhoaltje vertellen wol.
Het was altijd hetzelfde..;t was Aaltied t zulfde..
De kat kroop toen het liefst bij mij op de schoot en toen opa zijn koffie op haar liet....;De kat kroop den t laifst bie mie op schoot en as opa zien kovvie op haar....
Dan begon hij te vertellen.;Den begon e te vertellen.
Ik wist al wat er kwam.;Ik wis al wat der kwam.
Opa ging vertellen over...;Opa ging vertellen over...
ik zat vrijwel te trillen op de stoel en kneep de kater Snor bijna in de staart.;ik zat votdoalek te trillen op stoul en kneep koater Snor hoast in steert.
Je weet wel, hier achter bij de diep waar Sicko woont.;‘Waist ja wel, hier achter bie daip woar Sicko woont.
